dim_error_um,surface_ra_um,hardness_hv,roundness_um,threadfit_score,weight_g,machine_age_yrs,supplier,reject_recorded,reject
10.74,3.22,210.0,6.94,-0.179,244.3,5.8,C,1,1
0.78,2.22,216.0,9.72,-0.484,241.1,5.5,B,0,0
5.03,3.17,226.0,6.98,0.303,252.9,6.3,B,0,0
3.17,3.59,266.0,4.83,0.775,252.4,6.7,B,0,0
8.01,1.65,226.0,3.0,1.657,252.7,5.2,B,0,0
6.62,2.99,244.0,5.04,-2.196,248.9,8.8,C,1,1
8.48,1.85,213.0,4.98,-0.988,258.2,4.9,B,0,0
9.0,2.78,241.0,7.55,-0.902,258.2,3.3,A,1,1
4.13,2.52,227.0,5.75,-0.276,239.5,8.9,C,0,0
3.35,3.62,195.0,7.2,-0.075,247.8,9.8,C,1,0
7.99,3.68,222.0,5.01,-0.687,252.6,10.1,C,0,0
8.57,2.96,221.0,8.4,-0.346,241.6,8.3,C,1,1
10.71,3.36,196.0,4.28,1.733,244.1,6.1,B,0,0
10.67,1.85,242.0,6.98,0.533,256.0,2.0,A,0,0
10.95,2.56,202.0,5.8,-0.554,243.5,4.0,A,0,0
8.67,2.27,226.0,5.05,0.364,258.0,1.4,A,0,0
7.77,1.62,230.0,3.81,1.582,253.0,4.3,A,0,0
7.58,1.49,232.0,5.01,-1.448,240.6,1.2,A,0,0
5.06,2.49,201.0,4.41,0.079,247.8,6.8,B,0,0
3.85,1.86,195.0,5.67,-1.511,248.8,3.9,A,0,0
12.64,2.51,182.0,5.97,-0.591,243.3,5.6,A,1,1
9.64,2.24,229.0,6.57,0.163,252.1,2.8,A,0,0
5.05,3.43,257.0,7.05,0.142,249.8,11.9,C,1,0
8.07,3.12,231.0,5.21,-0.026,252.2,4.4,A,0,0
5.28,3.91,205.0,7.53,1.008,255.1,7.5,B,0,0
9.81,3.77,231.0,9.23,1.557,247.4,8.0,C,1,1
9.91,2.92,204.0,5.87,-0.662,257.9,4.5,B,0,0
6.49,1.31,216.0,6.44,-1.625,248.3,3.5,A,0,0
5.49,2.23,231.0,7.42,1.291,252.8,3.9,B,0,0
12.91,1.77,216.0,6.93,-0.234,247.9,2.0,A,0,0
13.93,2.4,237.0,8.22,0.29,251.3,2.5,B,1,1
5.66,2.68,196.0,5.59,0.716,243.9,5.7,B,0,0
10.05,3.8,216.0,8.24,0.259,265.2,9.5,C,1,1
10.3,2.96,214.0,4.82,-1.229,246.9,3.4,A,0,0
10.34,2.73,214.0,10.29,1.477,248.7,1.7,A,1,1
4.65,2.95,223.0,7.09,-1.009,263.5,4.8,B,0,0
5.25,2.83,224.0,3.25,-0.133,245.5,4.5,B,0,0
2.91,1.7,201.0,3.15,2.012,250.9,1.1,A,0,0
7.45,2.27,222.0,4.5,1.017,256.3,4.4,B,0,0
4.13,2.4,244.0,2.89,-1.24,241.4,4.2,B,0,0
7.23,2.87,167.0,6.96,0.061,250.5,10.9,C,1,1
6.91,3.49,216.0,5.79,0.995,242.5,9.8,C,1,0
10.34,2.32,231.0,9.43,-1.422,254.0,5.5,B,1,1
5.02,1.47,208.0,5.68,0.182,248.6,4.6,A,0,0
4.18,3.63,211.0,3.56,-0.595,254.1,10.6,C,0,0
3.58,2.7,205.0,6.95,0.749,256.7,4.6,A,0,0
11.39,2.04,211.0,5.62,0.331,251.7,1.8,A,0,0
6.2,1.89,219.0,8.21,1.773,252.4,6.0,B,0,0
10.66,3.94,207.0,6.68,-0.238,241.3,10.5,C,0,0
6.94,2.11,230.0,3.73,0.936,257.5,4.7,A,0,0
4.56,3.21,232.0,5.97,-0.81,252.1,8.8,C,0,0
4.63,2.83,240.0,4.43,-1.426,248.0,6.2,A,0,0
6.18,2.8,247.0,6.02,1.342,257.5,3.5,B,0,0
10.67,2.6,246.0,4.91,0.364,255.0,6.3,B,0,0
12.47,3.34,219.0,5.09,1.169,252.9,9.9,C,1,0
12.67,2.84,200.0,6.37,-0.665,245.5,5.0,B,1,1
10.8,2.92,218.0,4.05,-0.544,252.0,5.1,B,0,0
10.01,2.16,223.0,7.66,2.01,252.9,5.9,B,1,1
6.5,3.28,218.0,2.84,-0.85,252.8,4.1,B,0,0
8.15,3.08,203.0,4.95,-0.523,244.0,9.0,C,0,0
8.41,1.95,207.0,5.66,-3.657,247.6,3.9,B,1,1
8.83,2.76,204.0,7.23,0.531,240.0,6.0,B,0,0
6.29,2.33,220.0,4.72,-0.91,252.0,2.0,A,0,0
5.89,3.1,217.0,4.3,-0.141,257.7,9.4,C,1,0
5.75,2.43,224.0,9.45,0.394,246.3,0.5,A,0,0
9.76,1.93,211.0,8.01,-0.634,250.0,6.4,B,0,0
5.93,1.48,232.0,2.62,-1.433,243.5,1.9,A,0,0
6.97,2.27,233.0,6.03,0.975,254.1,4.6,B,0,0
8.72,2.89,218.0,8.09,-0.126,257.4,2.8,A,1,1
12.23,3.04,220.0,6.09,0.255,258.1,8.4,C,1,0
4.99,2.25,186.0,10.46,0.857,262.6,7.4,B,1,1
13.15,2.33,234.0,8.44,-0.29,241.5,4.0,B,1,1
9.53,3.9,215.0,3.92,0.148,252.7,9.3,C,1,0
3.68,3.12,212.0,7.64,-2.756,252.8,5.0,C,0,0
7.17,3.01,226.0,7.33,0.125,247.1,7.5,B,0,0
8.18,2.02,209.0,4.51,1.211,252.0,5.1,A,0,0
9.85,3.65,185.0,6.32,0.961,260.7,9.5,C,0,0
9.32,2.74,224.0,5.57,0.547,265.4,8.8,B,0,0
8.95,3.48,232.0,6.12,-0.374,259.7,8.3,B,0,0
2.9,2.76,192.0,3.91,0.882,252.8,2.3,B,0,0
9.65,2.35,249.0,9.59,-0.346,249.9,2.7,B,1,1
12.97,2.06,207.0,4.74,0.178,242.9,5.3,A,0,0
9.41,3.32,219.0,6.54,-0.657,253.8,5.8,B,0,0
7.89,2.83,195.0,5.29,0.479,253.6,5.9,A,0,0
9.91,2.87,221.0,8.63,-1.171,243.5,5.8,B,0,0
11.09,1.77,187.0,4.6,0.174,255.6,0.7,A,1,1
11.67,2.22,205.0,6.87,0.202,254.4,2.2,A,0,0
7.21,2.8,211.0,8.05,0.742,247.5,9.9,C,1,1
14.02,1.96,214.0,8.05,-0.375,252.1,0.5,A,1,1
3.88,2.19,226.0,3.07,1.238,247.7,3.3,A,0,0
7.72,2.0,234.0,8.08,0.226,248.9,3.0,B,0,0
4.42,2.46,204.0,7.23,-0.056,244.3,5.7,B,0,0
15.49,2.22,205.0,6.15,2.062,244.8,6.2,B,1,1
10.02,2.51,221.0,2.48,-0.859,256.0,3.7,A,0,0
12.12,2.49,229.0,4.07,-0.796,259.8,5.9,A,0,0
8.82,2.24,184.0,5.88,0.942,250.5,3.1,B,0,0
7.06,3.93,192.0,4.37,-1.52,252.3,10.8,C,1,0
10.55,4.19,220.0,9.93,-1.0,246.9,10.7,C,1,1
0.55,2.61,227.0,10.69,-0.359,255.1,4.5,A,0,0
7.51,2.56,254.0,5.58,-0.005,260.5,4.6,B,0,0
3.9,2.87,232.0,8.16,-0.621,255.1,4.9,A,0,0
11.04,3.02,248.0,8.37,1.415,252.2,5.2,B,1,1
10.44,2.63,220.0,3.97,-0.121,241.3,2.3,A,1,1
4.12,1.61,216.0,3.15,0.231,239.1,1.0,A,0,0
6.6,2.03,193.0,8.27,-0.759,245.7,4.8,A,1,1
11.85,3.33,193.0,0.87,0.592,256.4,3.3,B,1,1
10.27,2.22,180.0,4.65,-0.382,254.4,6.6,B,0,0
4.07,2.68,193.0,8.52,-0.48,258.6,6.2,B,1,1
8.24,2.3,227.0,5.45,-0.43,248.6,4.1,A,0,0
5.1,1.78,210.0,6.57,1.598,246.7,0.5,B,0,0
7.75,2.87,219.0,5.65,0.359,250.8,2.7,A,0,0
10.35,2.38,210.0,1.36,0.429,253.2,4.4,B,0,0
3.66,3.61,205.0,4.66,0.614,247.1,9.5,C,1,0
3.7,2.26,229.0,7.41,0.37,247.5,4.7,A,0,0
5.78,3.63,210.0,4.58,-0.992,249.1,7.1,B,0,0
7.67,2.76,228.0,1.37,-0.861,240.4,9.3,C,0,0
5.62,3.02,237.0,7.68,-0.455,249.2,2.8,A,0,0
5.08,3.3,230.0,10.69,1.811,252.1,8.7,C,1,1
2.51,3.28,232.0,2.32,0.066,254.3,9.9,C,1,0
7.37,3.14,202.0,4.8,0.736,246.6,8.4,C,1,0
13.03,2.6,226.0,6.55,-0.291,255.0,3.3,A,1,1
5.7,3.12,185.0,7.17,-1.469,251.3,9.1,C,1,0
7.31,3.33,241.0,4.77,-0.986,257.7,8.5,C,0,0
1.4,4.1,196.0,2.39,-1.757,249.1,9.7,C,1,0
1.96,3.62,236.0,6.24,-2.014,250.6,8.7,C,1,0
12.56,1.8,203.0,3.9,-0.745,233.8,2.2,A,0,0
4.78,2.22,226.0,3.81,0.015,254.2,8.7,C,0,0
5.52,3.8,207.0,7.35,0.377,255.9,5.2,B,0,0
6.8,2.55,178.0,5.63,-0.889,252.7,3.4,A,0,0
6.71,2.5,209.0,3.58,0.485,253.8,4.7,B,0,0
8.98,2.38,197.0,5.1,0.824,250.5,1.5,A,1,1
9.19,1.97,240.0,7.2,0.356,251.9,1.7,A,0,0
4.65,1.91,221.0,6.6,0.922,249.4,2.8,B,0,0
8.73,2.38,264.0,8.37,-0.349,247.2,8.1,C,1,1
7.36,2.77,251.0,7.81,0.732,241.9,4.2,A,0,0
7.42,2.18,235.0,4.21,-0.106,250.4,0.5,A,0,0
6.59,2.13,235.0,10.38,-2.115,239.5,4.4,B,1,1
8.25,2.55,223.0,4.7,-1.004,251.1,3.3,A,0,0
6.07,2.81,219.0,4.53,1.141,239.3,6.8,B,0,0
7.16,3.95,228.0,9.03,0.552,244.2,10.3,C,1,0
11.96,1.75,211.0,3.62,0.801,251.7,1.1,A,0,0
4.57,2.61,237.0,6.67,0.17,243.2,3.4,B,0,0
1.07,3.29,230.0,3.08,-0.859,250.8,7.6,C,1,0
8.77,3.28,224.0,7.4,1.043,257.5,6.0,B,0,0
6.28,2.75,206.0,7.61,0.843,258.9,7.0,B,0,0
9.25,2.81,228.0,5.33,1.0,240.0,5.5,B,0,0
11.45,3.69,210.0,6.4,-0.799,240.1,6.9,C,0,0
9.71,3.74,224.0,5.18,0.546,250.8,8.0,C,0,0
4.3,1.2,236.0,8.85,-0.335,251.3,0.5,A,0,0
8.2,2.99,264.0,3.55,-0.646,250.5,3.5,A,0,0
9.43,2.05,233.0,8.11,0.125,246.9,3.3,A,0,0
11.26,2.66,205.0,3.83,0.915,249.8,7.5,C,0,0
12.03,2.02,242.0,1.61,-1.052,252.7,5.0,A,0,0
2.28,2.2,201.0,5.59,0.573,257.6,2.7,B,0,0
6.91,2.27,215.0,3.0,0.243,243.8,4.4,A,0,0
11.29,3.87,211.0,5.56,-0.536,247.5,8.8,C,0,0
7.28,2.22,203.0,6.24,-1.295,250.6,8.6,B,0,0
6.45,3.32,212.0,7.97,-0.407,254.4,5.0,B,0,0
5.58,2.03,220.0,7.67,0.735,249.8,0.8,A,0,0
5.89,2.44,229.0,7.16,-1.539,258.3,1.4,A,0,0
7.09,1.98,239.0,5.16,-0.211,244.5,6.3,B,0,0
2.65,1.84,219.0,2.0,1.714,247.7,2.1,A,0,0
8.69,3.14,220.0,6.23,-0.682,250.6,8.7,C,0,0
4.45,3.14,216.0,5.58,0.717,251.2,8.0,C,0,0
7.49,2.6,217.0,4.73,-0.336,237.1,6.8,B,0,0
5.66,2.48,235.0,4.8,-1.929,248.6,0.9,A,0,0
7.73,2.25,245.0,3.01,0.428,253.4,2.8,A,0,0
12.41,3.02,228.0,9.98,-1.415,238.1,8.5,B,1,1
10.17,3.56,214.0,5.05,0.28,254.3,7.9,C,0,0
6.55,2.25,212.0,5.92,0.962,252.2,3.9,B,0,0
10.32,2.58,241.0,6.93,0.461,249.8,1.8,A,1,1
7.58,2.6,228.0,6.4,-1.068,252.2,5.9,B,0,0
8.12,2.69,210.0,1.97,0.476,251.2,5.7,B,0,0
11.46,1.44,219.0,3.94,0.667,245.0,1.1,A,0,0
8.4,2.73,220.0,2.12,-0.811,250.7,3.1,A,0,0
8.05,3.43,247.0,4.82,-0.832,252.4,8.8,C,1,0
12.39,1.1,201.0,10.76,-1.257,260.8,3.0,A,1,1
8.89,5.1,200.0,4.24,1.051,253.5,11.3,C,1,0
6.38,3.22,202.0,5.33,-0.419,253.6,9.4,C,0,0
11.2,1.86,234.0,9.42,0.942,243.7,1.9,A,1,1
12.14,2.61,234.0,7.31,-2.162,252.4,1.8,A,1,1
3.16,1.23,236.0,3.45,-0.981,252.3,1.0,A,0,0
15.25,2.7,220.0,2.99,0.638,253.2,7.9,C,1,1
12.07,3.83,256.0,9.62,1.25,246.1,7.9,C,1,1
1.78,3.39,196.0,6.7,0.048,248.2,6.7,B,0,0
10.5,2.23,227.0,5.8,0.088,263.2,4.3,A,0,0
3.49,3.05,199.0,5.56,2.672,248.0,9.7,C,0,0
7.42,2.96,231.0,5.84,-0.653,268.7,9.3,C,0,0
10.26,1.88,228.0,6.05,-0.142,243.7,3.7,B,0,0
10.55,1.93,226.0,5.16,-1.526,252.4,3.5,A,0,0
1.91,3.9,219.0,4.71,-2.068,250.8,9.5,C,1,0
11.65,2.86,221.0,0.5,-2.247,246.5,4.1,B,0,0
9.47,3.8,234.0,3.35,1.557,248.5,9.9,C,1,0
6.52,1.57,196.0,4.85,-0.435,254.5,2.1,A,0,0
8.87,3.22,244.0,3.01,1.015,249.7,9.0,C,1,0
8.3,3.14,237.0,5.44,0.768,244.4,10.1,C,0,0
3.16,2.34,232.0,8.54,1.717,253.4,2.7,A,1,1
8.94,3.15,221.0,7.39,0.683,250.0,8.2,C,0,0
11.97,2.27,206.0,8.08,-2.326,253.6,5.6,B,1,1
11.88,2.56,223.0,3.82,1.048,250.9,4.4,A,0,0
4.03,2.53,242.0,2.7,-1.307,248.1,4.0,A,0,0
7.59,3.54,195.0,3.22,0.576,258.3,7.8,C,1,0
7.94,2.67,226.0,6.38,-0.922,249.3,3.2,A,0,0
11.06,3.61,221.0,8.02,1.314,251.5,9.8,C,1,1
10.53,4.15,240.0,8.04,-0.305,252.2,10.5,C,1,0
9.15,3.14,235.0,5.77,0.219,249.5,3.8,A,0,0
8.6,2.09,213.0,5.53,-0.236,258.1,3.7,A,0,0
6.36,3.19,258.0,4.73,-0.329,253.4,7.6,B,0,0
15.1,2.59,225.0,6.06,-0.47,252.4,4.0,B,1,1
3.41,4.01,240.0,6.2,-1.789,255.0,10.0,C,0,0
2.72,3.51,251.0,4.32,-0.146,239.8,6.3,B,0,0
7.7,3.35,210.0,10.72,-1.325,250.0,9.7,C,1,1
6.29,2.56,226.0,9.33,-0.727,246.7,3.5,A,0,0
9.45,3.38,205.0,4.63,-0.129,248.1,4.5,A,0,0
0.49,3.05,245.0,7.77,-0.694,244.4,6.0,A,0,0
7.06,3.67,219.0,1.5,0.839,249.6,6.8,C,1,0
2.18,3.62,228.0,8.28,0.068,239.5,11.8,C,0,0
7.66,4.04,197.0,3.13,-0.691,243.4,7.8,C,1,0
13.25,2.93,210.0,6.9,0.365,254.7,4.4,B,0,0
11.8,2.11,208.0,5.79,0.442,257.9,2.6,A,0,0
11.63,1.73,189.0,8.29,0.628,248.5,0.9,A,1,1
9.49,3.39,253.0,5.99,0.166,246.6,5.9,B,0,0
4.85,4.39,212.0,0.86,1.642,252.4,10.5,C,0,0
9.11,2.67,224.0,4.43,-0.271,252.3,5.1,B,0,0
8.01,3.16,240.0,3.96,-1.256,257.6,6.1,B,0,0
10.61,4.82,207.0,4.45,-0.167,256.6,12.1,C,0,0
13.07,2.21,209.0,5.36,0.192,240.1,3.8,B,0,0
5.84,1.96,208.0,6.19,-0.56,251.9,8.1,C,0,0
8.73,3.12,188.0,5.01,-1.08,250.2,2.5,A,1,1
5.84,2.39,214.0,5.03,-0.876,242.5,1.6,A,0,0
5.11,2.58,240.0,8.29,0.787,252.3,2.0,A,0,0
11.9,2.47,218.0,5.1,-0.444,242.3,3.4,B,0,0
11.58,2.79,220.0,5.98,-0.859,247.6,3.4,A,0,0
9.48,2.72,222.0,2.78,0.148,251.6,6.3,B,0,0
10.31,2.4,189.0,6.57,1.291,251.4,7.7,B,0,0
16.87,3.14,221.0,9.9,1.525,248.5,6.0,A,1,1
9.37,2.97,221.0,8.97,-0.297,244.1,5.5,A,0,0
7.54,2.73,244.0,9.49,-0.088,253.9,4.4,A,0,0
6.59,2.32,236.0,6.22,0.464,252.9,2.7,A,0,0
4.13,1.57,209.0,5.14,-0.373,251.9,1.4,A,0,0
12.72,1.61,237.0,11.13,-0.703,252.9,2.2,A,1,1
4.03,2.59,216.0,1.47,0.997,265.9,4.1,A,0,0
14.95,2.54,198.0,5.56,-0.232,255.1,4.0,A,1,1
8.08,2.17,228.0,7.31,-1.172,258.7,3.1,B,0,0
0.31,1.47,235.0,4.03,1.345,243.7,1.7,A,0,0
6.2,4.17,260.0,10.22,1.592,253.4,10.7,C,1,1
7.95,2.23,203.0,7.93,-1.428,253.9,2.9,A,0,0
8.36,2.7,227.0,7.29,-1.258,257.4,3.6,B,0,0
3.19,2.78,198.0,8.1,0.962,251.6,7.5,C,0,0
10.0,2.96,202.0,6.99,-1.365,244.1,2.2,A,0,0
8.16,1.47,200.0,2.89,0.381,255.1,0.5,A,0,0
6.84,3.73,210.0,7.35,0.548,250.3,8.9,C,1,0
13.06,4.05,263.0,8.97,0.107,242.9,12.4,C,1,1
5.29,1.55,231.0,0.64,0.921,257.2,3.5,A,0,0
4.34,0.92,199.0,3.4,0.85,241.8,0.5,A,0,0
8.94,2.18,214.0,6.74,0.789,249.9,2.2,B,0,0
9.54,3.86,211.0,7.76,0.212,259.7,6.4,B,1,1
0.0,2.95,232.0,2.83,2.416,250.7,4.4,A,0,0
2.7,4.46,217.0,3.52,-0.549,247.8,10.8,C,0,0
7.9,2.51,213.0,5.13,-1.392,242.0,4.4,B,0,0
12.63,2.76,200.0,9.28,-0.626,252.7,9.9,C,1,1
9.19,2.99,229.0,1.55,0.799,247.8,3.7,A,0,0
9.02,2.82,211.0,6.73,-0.023,260.4,6.6,B,0,0
7.88,2.93,182.0,4.29,-1.427,249.0,1.4,A,0,0
7.98,2.93,214.0,4.35,0.591,242.7,2.0,B,0,0
8.38,3.22,195.0,3.87,-0.099,251.3,6.6,A,0,0
12.85,2.69,225.0,5.12,1.01,249.2,7.0,B,0,0
5.09,3.07,223.0,2.29,-0.207,263.6,7.9,B,0,0
8.81,3.04,232.0,6.16,0.323,257.6,5.6,B,0,0
2.37,1.53,222.0,4.35,-1.223,247.8,4.6,A,0,0
9.1,2.38,208.0,7.35,-1.353,246.4,4.0,A,0,0
2.87,2.25,208.0,6.57,-1.02,246.8,1.0,A,0,0
2.26,1.93,210.0,1.01,-0.328,242.1,3.7,B,0,0
11.08,3.24,210.0,5.84,0.604,252.6,8.9,C,0,0
7.73,4.73,193.0,3.97,-0.658,241.5,9.2,C,0,0
6.12,3.76,227.0,7.05,-1.159,256.7,9.0,C,1,0
7.98,2.59,227.0,4.79,0.144,253.8,4.5,B,0,0
9.89,2.81,236.0,4.75,0.015,260.3,6.1,B,0,0
7.89,2.38,232.0,9.1,-1.804,251.9,2.7,A,0,0
7.31,2.87,217.0,2.97,0.619,256.3,8.8,C,0,0
11.01,2.77,206.0,5.3,0.366,261.7,4.4,B,0,0
9.67,3.0,218.0,7.69,-0.966,261.8,8.8,C,0,0
6.56,2.36,208.0,10.39,1.925,261.2,4.5,B,1,1
10.1,3.56,238.0,3.75,-1.413,248.3,7.2,C,1,0
13.64,3.51,236.0,8.02,-1.856,245.9,8.2,C,1,1
5.13,3.74,199.0,6.18,-0.096,248.5,6.4,B,0,0
4.65,0.89,218.0,8.11,-0.045,249.2,1.5,A,0,0
9.77,3.24,223.0,4.98,-1.063,254.1,6.4,B,0,0
5.55,2.04,188.0,7.48,0.921,250.5,2.3,A,0,0
5.1,2.54,225.0,4.19,-1.146,251.1,4.8,B,0,0
11.41,2.5,248.0,5.39,0.607,248.6,4.1,A,1,1
14.59,2.85,208.0,7.94,0.32,241.9,2.5,A,1,1
10.79,3.37,215.0,7.13,-0.348,246.0,7.9,C,0,0
9.14,2.96,238.0,2.01,0.031,251.4,3.3,B,0,0
6.36,0.74,217.0,5.55,-0.9,252.1,1.5,B,0,0
9.81,3.68,226.0,8.26,-0.658,248.3,6.7,C,1,1
9.73,1.96,239.0,4.96,0.921,248.2,6.2,C,0,0
7.26,2.3,182.0,5.03,-0.745,236.0,3.3,A,0,0
10.94,2.89,189.0,4.49,-0.529,268.9,6.9,B,0,0
8.97,2.69,223.0,5.76,0.733,250.1,4.6,B,0,0
4.0,3.41,248.0,7.69,-0.849,246.7,9.8,C,0,0
9.5,2.46,233.0,4.96,1.072,249.2,5.1,B,0,0
7.49,2.39,206.0,8.5,1.11,258.1,6.1,B,0,0
10.04,2.49,238.0,5.53,0.689,262.2,3.0,A,1,1
5.04,3.42,197.0,8.27,0.388,254.1,7.8,B,0,0
7.32,1.6,219.0,8.03,0.025,260.0,1.8,A,0,0
5.44,3.92,200.0,4.27,-0.066,257.7,9.1,C,0,0
5.46,1.0,216.0,7.57,0.127,264.0,5.2,A,0,0
5.37,2.64,231.0,8.26,0.149,248.2,2.9,A,0,0
6.86,3.34,214.0,4.2,1.419,262.0,10.8,C,0,0
9.74,3.72,214.0,6.07,-2.332,253.9,8.0,C,1,1
9.75,3.2,190.0,4.32,-0.727,248.2,7.4,C,1,0
10.54,1.81,199.0,6.87,-1.571,253.8,5.9,B,1,1
12.02,2.15,193.0,8.42,-0.242,256.3,6.4,B,1,1
7.61,2.78,220.0,6.43,-0.771,241.7,6.1,B,0,0
11.73,1.5,226.0,6.41,-0.848,252.0,2.3,A,1,1
4.43,1.77,233.0,2.15,0.491,241.2,3.0,B,0,0
7.71,3.57,193.0,5.99,0.858,242.3,9.7,C,0,0
6.95,2.21,194.0,8.19,0.323,254.6,3.6,A,0,0
2.49,3.86,217.0,9.49,0.667,245.1,8.4,C,1,0
9.16,2.37,203.0,7.97,-1.779,249.8,4.0,B,1,1
8.72,3.07,201.0,4.97,1.427,245.2,5.9,B,0,0
8.29,2.23,200.0,7.78,-1.276,244.5,3.9,A,0,0
11.82,2.98,193.0,5.27,1.789,246.3,9.5,C,1,1
7.63,1.78,245.0,0.5,-0.403,253.7,1.6,A,0,0
11.55,1.31,222.0,0.5,-1.061,244.9,1.4,A,0,0
5.28,3.48,205.0,5.8,1.092,249.8,7.4,C,1,0
2.49,3.02,201.0,5.31,0.356,246.6,3.4,A,0,0
6.86,3.2,265.0,6.62,1.646,250.2,4.9,B,0,0
9.99,2.7,179.0,5.43,0.843,250.9,9.3,C,0,0
8.3,2.92,233.0,6.65,0.688,247.7,4.0,A,0,0
7.97,2.32,196.0,5.33,-0.33,229.6,2.8,B,0,0
10.92,1.39,212.0,4.03,-1.731,246.3,1.9,A,0,0
12.49,2.56,197.0,5.5,-0.324,249.4,3.8,A,0,0
0.0,3.46,203.0,4.68,-0.419,256.0,8.9,C,0,0
8.68,2.37,225.0,6.39,2.135,249.0,4.8,B,1,1
12.85,1.48,185.0,3.14,-0.261,244.3,3.4,A,1,1
4.64,2.07,181.0,6.04,0.935,242.6,4.4,A,0,0
5.57,2.42,234.0,5.95,-0.09,252.7,4.8,A,0,0
12.38,2.27,219.0,5.07,-0.439,257.1,3.4,A,0,0
9.64,2.58,246.0,8.02,-0.33,241.7,2.7,A,1,1
9.61,4.11,233.0,6.88,2.075,245.9,10.5,C,1,1
10.93,3.4,214.0,4.92,-0.142,253.3,3.1,A,0,0
4.09,2.81,245.0,7.66,0.14,234.9,5.2,B,0,0
8.34,2.43,229.0,6.49,0.74,246.2,3.2,A,0,0
11.11,3.46,235.0,7.42,-0.047,252.1,8.5,C,1,0
6.07,2.21,248.0,5.56,1.724,252.9,3.6,A,0,0
10.18,4.25,199.0,6.96,-0.498,256.4,7.5,C,1,0
8.99,3.24,248.0,10.06,2.229,250.3,8.7,C,1,1
7.45,2.65,229.0,5.45,-0.414,243.7,3.5,A,0,0
7.37,3.39,228.0,3.24,0.987,242.1,5.4,B,0,0
9.07,3.25,220.0,10.91,0.655,258.0,7.5,C,1,1
5.57,2.58,262.0,6.36,-1.0,245.4,5.3,A,0,0
11.81,3.01,208.0,9.42,-0.616,262.8,4.5,B,1,1
2.23,2.96,199.0,2.49,-0.269,254.7,6.6,C,0,0
3.25,2.98,213.0,6.31,0.973,251.6,6.0,B,0,0
12.98,2.68,234.0,5.84,0.476,248.8,3.4,A,1,1
4.85,1.88,233.0,4.95,0.54,247.9,3.2,B,0,0
2.78,2.49,190.0,4.13,0.732,248.8,3.5,A,0,0
7.68,2.31,231.0,5.7,-0.706,246.6,1.4,A,0,0
10.14,3.64,202.0,6.89,-1.19,255.9,5.7,B,0,0
10.21,4.08,244.0,6.77,0.833,238.8,11.9,C,0,0
8.42,4.59,245.0,7.14,-0.771,247.6,12.1,C,1,0
9.22,2.04,226.0,6.58,0.313,251.7,1.8,A,0,0
4.45,2.86,217.0,6.57,-0.588,246.8,2.8,A,0,0
8.42,2.56,243.0,7.78,0.791,256.4,1.4,B,0,0
3.11,3.02,182.0,6.57,-1.346,249.2,8.4,C,1,0
5.5,2.85,185.0,7.45,-0.208,250.3,5.4,B,0,0
5.37,3.5,225.0,7.77,-1.64,262.8,9.7,C,1,0
5.51,2.94,213.0,1.95,0.26,245.1,5.2,A,0,0
7.39,2.15,220.0,3.96,0.55,252.7,1.5,A,0,0
8.26,1.28,223.0,8.59,0.688,240.5,3.2,B,0,0
12.43,2.97,231.0,8.51,-0.62,243.1,5.7,B,1,1
4.95,2.03,209.0,8.47,-0.56,245.2,3.3,B,0,0
9.52,1.83,219.0,6.93,-1.689,236.1,2.8,B,0,0
8.03,2.8,261.0,2.25,-0.917,254.4,5.2,B,0,0
11.14,1.89,207.0,5.02,0.413,250.6,1.9,A,0,0
6.16,1.67,235.0,9.73,-1.761,239.0,4.5,B,0,0
6.87,1.69,192.0,8.67,1.02,250.7,3.6,B,0,0
11.37,2.03,196.0,3.66,-0.362,252.6,4.4,A,0,0
2.19,2.76,223.0,7.41,-1.189,241.2,4.4,A,0,0
10.17,3.79,201.0,4.82,-0.83,252.7,9.1,C,0,0
8.15,3.01,227.0,7.12,-0.776,249.7,7.6,B,0,0
4.38,1.86,231.0,9.25,0.249,255.0,3.6,B,0,0
8.73,3.89,257.0,5.17,1.744,250.6,10.3,C,1,1
6.17,2.59,231.0,8.93,0.068,254.8,4.4,A,0,0
7.81,2.1,254.0,6.19,0.903,250.8,2.9,B,0,0
5.35,2.32,241.0,6.72,0.718,241.4,4.4,B,0,0
9.02,1.91,251.0,8.15,0.279,244.2,4.7,B,1,1
11.43,3.08,228.0,2.53,1.669,248.2,3.2,A,1,1
8.24,2.51,214.0,6.97,1.004,250.4,0.9,A,0,0
14.69,3.05,208.0,4.98,-2.021,256.0,6.7,C,1,1
4.06,2.66,237.0,3.66,0.688,248.6,4.2,A,0,0
11.51,2.23,229.0,7.33,-0.474,256.0,2.2,A,1,1
5.85,3.69,211.0,4.16,-1.327,242.0,6.8,A,0,0
13.15,2.46,210.0,5.96,1.28,244.8,4.9,B,0,0
11.45,3.22,213.0,4.73,-1.643,241.1,8.3,B,0,0
12.97,2.41,202.0,9.42,1.011,249.5,3.1,A,1,1
12.1,3.38,217.0,5.14,-0.568,262.6,8.6,C,1,0
3.59,2.93,241.0,7.71,1.336,252.6,9.4,C,1,1
4.81,3.22,250.0,7.76,-0.517,245.2,7.5,C,0,0
11.45,3.76,210.0,9.32,-1.131,248.7,7.2,C,1,1
8.93,1.8,241.0,8.09,-0.093,247.8,4.1,B,0,0
