AT,V,AP,RH,PE
24.11,46.34,1014.26,82.11,441.67
17.8,43.06,1005.49,86.01,452.52
4.13,30.92,1024.89,44.05,481.2
20.51,42.28,1019.16,70.73,445.9
35.17,75.32,1021.11,49.58,410.96
27.98,59.28,1013.38,87.2,428.57
11.34,36.07,1008.98,66.76,469.32
19.73,48.32,1017.64,88.99,446.75
5.57,25.0,1010.81,47.67,476.31
25.64,54.38,1022.79,78.53,438.18
15.21,44.37,1010.86,30.61,452.91
22.53,60.3,1010.92,92.66,446.87
36.02,71.94,1021.07,35.04,414.85
23.32,54.99,1021.35,96.89,446.91
30.01,57.21,1015.51,87.03,429.06
2.15,25.0,1020.03,61.17,484.32
13.12,43.9,1015.7,51.26,460.85
22.34,57.53,1009.04,45.78,434.6
8.61,29.49,1020.33,53.52,474.55
21.16,49.0,1006.2,84.65,446.18
13.96,36.31,1013.01,71.65,461.21
18.4,40.25,1011.21,61.65,453.92
4.97,28.78,1009.52,78.18,477.94
27.09,55.38,1008.16,69.05,440.7
11.01,43.42,1012.98,81.66,464.55
13.56,25.32,1010.04,58.5,465.9
7.67,25.0,1011.8,51.77,478.72
10.76,26.38,1010.13,63.53,468.48
7.14,28.81,1008.15,28.09,474.46
36.7,70.34,1010.43,64.41,415.33
30.33,57.41,1016.07,37.66,422.66
28.32,40.33,1012.27,92.49,440.97
4.99,26.34,1006.46,86.16,471.87
10.84,25.0,1010.44,38.24,463.7
34.16,75.82,1005.53,57.07,414.24
33.29,67.11,1010.71,31.08,419.24
8.22,25.57,1014.02,48.13,472.07
22.74,49.42,1010.63,48.98,436.39
25.5,64.47,1012.3,97.14,435.88
16.54,39.92,1019.66,45.22,462.41
13.57,30.92,1010.32,88.77,463.93
10.94,25.0,1015.24,49.99,465.83
26.88,55.92,1008.16,38.89,434.51
13.36,32.79,1021.92,88.77,466.55
27.24,64.23,1011.98,25.95,432.94
2.82,25.0,1013.08,52.97,477.99
20.71,54.37,1007.94,96.75,454.71
32.91,63.14,1017.26,81.75,423.58
6.41,25.0,1018.22,78.3,477.09
2.11,26.67,1021.32,96.27,489.08
27.44,56.8,1010.05,46.98,434.33
8.65,26.17,1016.36,30.79,473.2
21.74,48.92,1001.93,50.04,446.76
2.25,27.24,1004.59,29.11,476.7
19.31,42.2,1020.28,91.35,452.43
16.47,53.45,1020.47,82.43,451.51
2.62,25.0,1013.23,26.96,478.64
12.24,28.65,1013.8,71.91,461.39
17.89,37.47,1027.4,88.22,455.09
20.07,46.75,1017.45,71.61,456.63
13.19,35.09,1019.9,96.31,459.9
24.94,51.93,1016.78,47.13,442.45
28.21,58.09,1013.09,91.56,435.69
5.73,27.89,1006.09,85.92,475.47
33.95,65.74,1015.91,83.93,413.85
14.52,35.89,1013.56,49.62,462.43
23.16,40.37,1013.68,49.36,442.28
34.16,77.27,1016.23,86.41,419.66
26.06,56.54,1013.15,97.91,434.07
16.91,45.88,1022.26,79.98,451.12
28.45,60.34,1006.04,29.83,420.68
13.45,45.09,1016.49,97.42,460.79
2.99,25.0,1007.68,67.54,481.64
25.6,62.53,1011.61,51.29,437.49
15.64,37.35,1005.8,96.58,460.12
31.76,62.68,1012.85,70.63,418.12
3.05,25.64,1019.25,47.64,479.73
27.14,60.88,1016.37,88.12,440.26
17.71,50.8,1012.32,57.39,455.15
3.24,25.0,1023.21,70.14,479.39
16.13,44.19,1007.47,44.4,459.01
30.29,58.84,1023.43,71.06,433.57
33.02,57.47,1011.62,56.15,422.26
24.26,59.04,1020.77,44.07,432.96
26.85,56.53,1013.64,83.82,429.28
32.97,59.99,1011.06,57.08,423.97
34.82,64.01,1023.11,29.05,415.34
19.98,50.08,1009.0,97.56,448.87
3.17,25.0,1015.88,35.73,474.2
24.91,53.44,1017.93,48.02,437.16
3.68,27.23,1019.96,45.56,475.61
4.29,25.0,1007.25,71.74,471.06
19.6,35.73,1019.32,53.38,453.8
23.31,56.69,1005.64,93.74,443.39
5.32,25.0,1014.65,54.97,474.4
24.62,51.46,1017.2,83.83,435.86
27.93,44.19,1016.84,29.64,430.99
34.31,48.38,1014.18,45.21,422.74
17.71,43.85,1013.57,98.25,447.43
35.81,67.05,1015.68,65.71,418.18
9.2,31.22,1009.69,59.05,467.37
21.96,51.39,1020.8,26.1,441.97
10.24,38.04,1019.85,88.01,465.51
14.76,47.19,1012.93,96.08,461.91
10.8,40.8,1018.32,26.24,468.86
36.61,65.14,1011.65,73.66,414.43
35.23,64.36,1016.28,48.85,410.56
22.04,50.61,1010.33,93.86,446.34
4.68,33.12,1016.54,98.74,473.78
9.58,38.54,1017.17,85.6,461.49
7.84,26.29,1012.1,67.76,469.57
12.28,28.73,1003.72,33.9,458.45
17.55,45.16,1022.54,45.64,454.79
15.66,39.6,1018.6,77.86,462.88
17.67,47.65,1017.55,28.08,453.25
30.07,66.36,1019.0,34.12,433.61
16.91,44.5,1014.39,66.94,453.56
20.19,42.1,1017.98,81.33,451.67
18.78,38.1,1016.35,34.41,449.52
10.95,32.3,1005.77,43.98,464.66
22.71,53.84,1007.73,49.46,444.31
7.93,29.2,1003.75,39.26,475.72
5.78,30.63,1007.51,84.67,470.45
22.22,47.9,1009.21,52.24,444.37
26.34,62.77,1008.27,71.58,436.94
5.71,28.43,999.12,63.34,471.76
19.49,44.5,1011.86,61.64,453.04
6.14,25.0,1006.6,65.5,472.22
13.91,37.48,1004.29,44.63,460.99
24.95,54.82,1014.36,54.82,442.03
25.3,64.16,1019.32,52.38,435.21
16.72,42.95,1020.42,55.92,450.44
31.06,67.14,1016.94,72.03,426.14
31.97,52.35,1018.27,57.1,418.6
9.19,37.32,1027.7,40.45,459.75
34.85,68.25,1007.29,60.63,416.63
10.49,27.94,1019.06,99.8,467.98
34.02,54.08,1009.77,36.48,419.13
23.0,46.5,1016.59,42.48,446.07
34.99,78.52,1012.75,57.0,418.65
13.69,42.92,1014.5,29.07,470.19
31.42,68.43,1012.26,75.62,426.57
13.93,35.52,1010.67,45.66,459.71
26.4,60.07,1008.23,27.27,430.37
28.04,62.46,1019.9,37.17,432.37
30.91,64.96,1018.51,69.42,422.53
23.98,47.41,1017.81,38.9,447.35
17.24,39.54,1012.77,27.01,454.08
2.02,25.0,1004.61,58.78,484.3
27.26,75.59,1012.74,77.63,429.92
22.09,38.44,1019.7,70.39,445.27
5.87,36.39,1004.46,29.54,465.05
26.35,64.59,1019.82,51.99,430.47
15.35,41.68,1017.15,30.4,456.05
24.99,59.19,1013.37,89.51,439.5
17.82,46.11,1007.66,99.97,445.09
29.92,64.79,1020.73,30.33,433.73
27.43,54.39,1004.41,84.78,437.54
32.95,54.19,1011.27,31.23,428.91
32.9,81.8,1008.98,61.32,412.76
2.03,31.44,1013.57,82.19,480.12
23.44,43.77,1015.17,77.23,440.7
36.37,77.57,1014.01,32.78,411.1
2.78,25.0,1007.94,98.69,481.54
28.6,62.31,1009.15,78.04,433.06
11.67,28.85,1014.22,81.49,472.83
21.57,43.01,1015.55,93.85,435.27
4.8,36.15,1026.29,36.6,479.34
24.73,51.2,1022.84,84.09,440.52
31.85,63.73,1013.21,35.01,418.95
28.17,63.1,1015.15,99.81,433.9
26.82,65.77,1019.2,82.69,435.98
33.1,63.19,1018.06,86.78,423.91
21.81,53.37,1013.29,70.88,438.98
9.66,36.63,1019.02,58.56,476.98
20.47,44.22,1014.77,50.81,452.57
30.67,59.1,1007.13,33.97,417.99
12.91,40.45,999.01,35.7,460.56
16.49,41.28,1002.05,63.66,456.73
30.58,71.8,1007.11,86.91,432.16
3.99,25.0,1009.4,77.64,482.45
3.83,26.73,1011.27,48.71,483.51
14.06,37.56,1019.19,73.9,466.36
31.7,55.74,1005.3,31.86,425.06
6.06,26.2,1003.3,30.81,464.41
21.21,40.33,1014.48,91.7,451.18
25.57,53.15,1011.93,59.6,432.09
3.82,30.11,1009.37,75.96,483.39
31.54,59.61,1009.96,97.02,425.19
29.5,64.46,996.22,32.77,421.35
2.91,25.0,1006.39,28.73,479.7
18.32,41.7,1016.08,95.43,456.61
16.64,40.54,1016.04,63.79,449.89
28.04,60.01,1022.76,42.25,427.65
2.94,25.0,1019.54,80.33,486.64
14.06,35.48,1011.71,35.5,462.44
3.74,25.0,1005.11,50.48,469.78
19.94,51.61,1010.89,37.99,445.37
4.5,25.0,1017.92,81.15,481.28
30.1,54.72,1020.9,38.84,421.95
13.4,39.39,1031.16,99.34,457.86
2.08,25.0,1027.45,50.54,482.0
12.38,25.0,1020.06,27.77,464.95
20.71,48.75,1013.07,25.8,438.25
9.24,39.74,1010.35,93.04,463.94
6.82,32.93,1011.02,37.22,471.98
29.09,58.14,1001.11,70.61,428.71
21.89,52.1,1015.25,49.87,443.35
3.11,25.0,1011.16,61.08,482.84
26.14,59.77,1008.3,96.56,436.7
4.85,26.91,1012.72,66.53,480.19
29.75,66.4,1011.79,86.66,425.22
30.92,62.04,1006.92,53.83,424.97
11.68,39.02,1016.72,69.42,467.18
2.31,25.0,1015.47,46.21,481.87
20.85,54.79,1013.9,39.06,445.09
21.58,52.14,1022.2,70.33,450.35
13.34,26.84,1020.64,47.06,472.75
15.69,31.05,1013.84,41.64,451.68
2.91,25.54,1007.46,59.11,477.12
35.19,75.0,1005.28,86.69,413.0
5.37,33.51,1015.89,73.14,474.45
17.79,40.92,1012.92,93.41,460.09
10.82,35.11,1021.26,96.8,471.43
23.55,50.49,1010.83,72.94,442.86
9.85,28.55,1017.06,66.8,474.34
3.93,25.0,1010.75,66.03,479.19
19.73,54.17,1012.08,87.87,451.63
10.73,31.09,1022.39,40.19,470.61
24.89,64.97,1011.88,31.22,430.51
12.17,28.1,1010.97,62.71,455.52
33.36,64.65,1015.15,46.64,420.53
22.1,53.44,1028.61,35.69,444.41
19.42,49.51,1006.82,66.0,450.7
18.67,46.11,1017.05,63.18,453.35
21.95,40.17,1003.29,54.44,444.54
21.06,47.2,1011.55,65.58,454.03
20.36,56.23,1015.47,63.58,442.95
8.64,34.73,1016.28,31.6,468.54
29.02,63.5,1021.49,48.92,428.2
15.36,43.13,1005.62,83.87,452.63
10.28,32.65,1006.98,45.76,472.0
23.32,51.89,1012.42,55.87,437.87
24.26,50.01,1013.85,98.17,450.58
14.69,47.73,1011.93,63.12,453.77
26.69,59.63,1011.08,63.45,433.37
8.96,33.59,1008.95,31.0,466.36
3.4,25.0,1015.14,44.67,480.61
9.48,30.57,1010.73,44.15,473.79
28.42,50.86,1010.05,58.39,431.26
6.14,27.03,1020.46,56.24,476.77
24.68,49.99,1019.78,71.33,440.35
21.79,46.5,1016.56,43.07,446.19
22.32,51.79,1016.64,34.3,441.79
13.47,45.61,1018.22,30.02,461.4
16.34,35.82,1025.96,81.68,454.34
30.79,62.94,1015.03,71.33,432.18
15.76,50.64,1012.01,51.72,458.35
4.01,25.0,1012.86,51.86,478.84
18.13,47.69,1015.26,61.36,458.09
4.24,25.0,1008.06,38.22,476.05
7.19,33.11,1012.73,95.72,470.67
10.07,42.3,1006.84,30.22,464.73
19.64,46.33,1011.08,69.14,456.24
20.91,54.46,1014.75,38.1,441.85
16.23,43.71,1013.32,38.86,455.02
3.46,34.72,1004.77,28.8,470.05
6.37,25.0,1005.7,52.36,471.01
22.47,45.51,1009.19,43.02,440.11
2.29,25.0,1013.7,28.17,468.25
28.89,60.85,1004.81,32.52,428.48
22.76,61.32,1000.52,80.03,436.46
21.33,56.04,1011.48,81.27,444.76
33.43,64.6,1016.85,88.03,424.15
6.37,25.0,1020.22,82.14,482.84
23.15,58.87,1016.71,75.53,439.93
16.32,43.65,1015.54,29.15,451.88
28.83,58.58,1014.44,37.36,430.28
23.09,57.0,1019.33,90.02,443.8
21.72,60.59,1011.63,80.7,440.14
16.52,44.46,1010.62,46.0,454.96
32.95,74.7,1006.31,78.52,417.68
21.54,38.92,1007.76,88.26,444.82
9.63,37.56,1008.79,61.71,466.9
5.46,40.4,1005.39,26.31,480.03
35.21,76.82,1013.92,67.99,413.77
33.86,64.05,1016.23,67.06,423.81
25.29,48.43,1007.77,61.0,437.21
29.36,63.31,1016.5,80.42,424.21
35.69,65.15,1011.19,66.34,410.72
27.65,55.44,1023.0,93.58,431.31
13.07,26.95,1009.92,35.14,464.34
28.13,53.26,1013.31,91.73,431.34
23.54,55.89,1015.16,75.59,442.05
9.18,27.08,1017.17,39.33,469.44
21.74,44.86,1021.09,59.99,443.02
35.52,61.85,1014.2,33.17,417.92
35.44,68.75,1027.83,34.11,418.1
14.66,41.59,1010.78,86.76,454.81
34.34,68.62,1011.95,97.44,417.52
10.15,25.0,1025.02,41.39,469.96
14.12,38.63,1012.47,71.68,463.17
8.97,25.48,1011.81,34.55,471.8
14.02,37.82,1016.41,59.54,459.94
35.04,62.33,1007.46,56.49,416.25
8.43,37.09,1019.8,97.9,477.29
9.21,42.87,1007.95,31.56,463.91
13.13,42.64,1004.2,71.71,457.95
32.06,75.06,1007.6,57.95,421.57
12.26,37.35,1014.72,83.75,462.93
14.95,38.19,1018.98,68.43,462.22
18.79,33.18,1017.35,30.28,455.57
30.51,58.52,1019.53,28.52,431.54
14.51,36.52,1011.79,74.81,457.66
27.28,67.06,1009.82,35.84,434.32
30.32,56.4,1018.92,34.87,424.46
2.42,25.0,1003.9,51.36,481.22
32.65,69.34,1014.09,76.23,424.9
12.65,36.86,1011.46,58.61,459.31
19.82,46.81,1014.4,47.7,450.77
2.66,28.34,999.8,63.12,474.21
34.03,62.33,1006.94,56.76,416.54
4.91,25.46,1012.52,58.36,477.82
34.86,70.1,1013.34,80.16,419.52
19.84,56.55,999.72,63.81,442.97
27.0,65.56,1016.13,73.75,434.11
25.38,58.4,1015.6,56.18,437.71
2.94,27.59,1012.83,46.19,475.82
25.75,42.95,1008.93,42.38,432.81
9.63,33.94,1009.77,69.48,469.35
4.99,25.0,1025.47,98.28,477.53
34.06,58.38,1012.4,56.57,419.07
10.16,36.83,1013.69,41.97,464.34
32.33,62.55,1022.19,96.57,422.08
9.98,28.45,1016.09,65.85,473.01
27.44,47.45,1013.37,44.34,429.1
29.65,62.02,1003.22,70.81,429.83
14.2,45.98,1017.04,39.41,462.82
18.3,45.53,1005.46,83.56,453.87
33.08,70.37,1008.3,48.63,418.57
9.29,37.43,1017.22,46.08,476.24
3.22,25.0,1011.92,55.5,479.55
29.37,58.31,1008.66,70.31,425.92
33.77,63.25,1015.91,30.47,422.19
15.44,38.58,1021.37,34.88,454.22
8.83,27.47,1017.11,81.32,472.68
9.75,32.5,1014.49,81.54,462.47
19.82,43.78,1011.21,27.31,455.23
35.8,76.44,1016.83,56.02,405.87
29.73,55.79,1017.85,42.4,428.24
30.06,71.13,1005.5,85.52,435.69
15.23,37.26,1019.74,65.41,459.63
12.38,33.11,1000.93,31.16,453.96
25.65,59.15,1018.34,70.61,432.2
34.58,63.71,1009.27,33.1,421.89
25.12,43.12,1009.64,68.81,437.33
36.3,75.57,1020.02,58.03,420.31
17.57,51.97,1018.37,28.86,440.89
13.58,26.06,1013.81,94.06,459.72
4.04,26.91,1010.03,47.71,474.85
10.91,30.4,1011.0,73.12,467.62
27.34,56.25,1020.06,86.57,435.64
28.95,69.3,1007.77,45.7,422.96
9.92,25.0,1004.52,73.46,468.99
14.06,35.19,1012.89,39.42,467.38
5.77,33.78,1014.13,38.37,476.33
17.14,44.2,1011.76,93.36,452.07
15.55,43.19,1002.59,75.92,462.45
34.48,63.95,1017.83,38.4,416.88
29.8,56.34,1006.86,69.07,431.88
33.93,62.48,1009.03,38.81,415.49
6.4,28.52,1018.52,27.26,474.14
12.91,33.99,1013.3,83.18,465.42
32.15,67.07,1006.29,60.79,413.84
10.23,48.43,1016.19,39.08,467.62
13.94,27.47,1012.69,72.67,461.84
5.5,27.43,1018.34,73.48,483.93
2.58,25.0,1017.51,32.74,481.56
23.33,45.32,1026.89,60.41,439.24
15.14,40.91,1017.46,48.27,453.23
14.05,32.88,1020.79,31.78,464.73
16.02,32.94,1012.8,87.31,460.77
29.43,60.51,1013.04,91.93,435.41
5.28,34.88,1009.46,41.7,478.64
3.08,25.0,1013.06,31.66,473.83
4.74,27.19,1013.36,76.81,478.09
4.12,25.0,1015.92,66.91,475.79
25.23,49.89,998.7,66.13,432.47
19.73,37.63,1015.63,47.03,449.09
5.03,25.0,1008.35,49.18,478.56
14.41,41.44,1021.46,28.27,461.06
4.57,25.0,1006.83,99.06,477.28
20.98,36.67,1011.24,67.23,444.87
28.3,61.75,1007.62,91.27,432.18
7.03,25.0,1016.76,62.41,472.24
32.33,54.97,1007.9,39.82,418.78
29.96,64.94,1006.32,91.65,423.16
36.89,69.72,1008.18,57.43,407.28
19.91,43.95,1013.87,48.5,450.25
20.88,47.72,1012.56,61.84,446.52
2.57,25.0,1005.98,53.37,480.57
33.68,82.0,999.03,45.33,411.16
29.72,47.73,1015.57,42.08,436.16
24.26,49.66,1016.5,74.83,446.9
28.87,62.79,1005.08,74.5,423.07
9.75,34.02,1011.04,87.8,462.6
30.1,54.05,1013.17,55.06,426.76
26.6,54.1,1007.09,46.21,426.8
9.24,30.38,1010.37,40.84,464.94
28.24,66.69,1000.4,67.87,421.38
21.18,58.05,1005.85,27.9,448.0
27.03,66.7,1011.91,37.5,426.89
7.25,29.34,1007.59,36.66,470.79
31.39,71.52,1016.65,44.87,424.54
15.25,43.39,1015.43,69.59,459.48
31.65,62.42,1012.23,83.08,425.0
36.75,69.37,1014.24,36.53,416.73
3.38,27.08,1017.49,94.37,495.75
24.8,55.95,1011.31,68.78,440.78
2.72,25.0,1017.83,62.26,478.15
12.93,31.19,1013.16,34.43,463.52
36.8,65.66,1016.9,67.79,411.07
25.13,62.87,1005.46,45.12,437.34
27.45,56.36,1006.08,42.6,426.6
18.28,45.28,1012.71,75.12,455.87
14.31,47.65,1006.0,71.58,461.94
6.35,36.54,1014.74,95.44,473.01
24.37,58.73,1012.02,70.55,439.14
36.22,73.27,1012.14,36.54,409.31
18.72,42.57,1022.82,94.42,448.83
18.61,45.45,999.59,28.24,452.76
28.56,61.03,1018.46,49.45,426.84
4.68,29.08,1014.01,82.9,482.65
24.65,50.25,1021.62,50.26,440.55
34.28,72.69,1007.08,46.29,416.72
6.56,33.8,1005.01,84.95,471.74
36.41,73.11,1008.74,67.81,414.82
30.33,53.84,1008.35,83.19,427.8
34.01,56.34,1017.77,62.92,424.36
5.87,30.72,1009.5,96.5,477.76
19.96,36.67,1012.55,28.43,451.14
28.58,60.69,1012.5,86.08,427.11
29.46,77.78,1013.07,46.03,421.43
9.95,31.72,1012.46,60.21,468.67
36.29,62.63,1009.1,41.57,418.13
6.2,32.33,1011.67,33.98,472.28
26.76,54.18,1018.71,29.97,431.07
34.39,67.39,1015.87,54.57,423.98
31.13,52.93,1010.42,99.47,425.42
33.42,62.62,1013.79,96.37,432.37
17.93,52.17,1017.93,26.75,451.37
33.16,64.51,1000.69,37.7,419.73
33.67,62.59,1008.28,59.8,423.77
23.33,51.54,1012.33,58.81,436.55
24.83,55.06,1010.96,29.19,435.61
4.42,30.06,1018.95,34.28,478.31
12.1,39.45,1012.44,30.31,467.16
36.75,76.89,1011.49,74.18,417.18
25.47,47.16,1002.45,54.81,439.78
35.17,66.82,1024.16,92.19,415.52
30.16,50.06,1016.5,88.22,432.93
25.5,63.91,1003.13,99.27,428.81
15.36,36.55,1008.72,44.07,453.28
21.65,46.97,1005.9,50.43,443.48
11.28,44.96,1021.51,66.96,469.43
9.63,37.02,1012.2,78.87,467.71
20.4,45.56,1013.17,63.07,442.06
19.77,45.01,1007.13,56.95,445.44
29.26,57.82,992.0,94.16,434.96
27.26,62.48,1013.44,48.62,429.7
15.21,57.84,1009.05,64.86,450.91
10.98,25.48,1011.19,86.22,471.11
25.29,63.25,1008.4,92.39,435.93
9.09,38.52,1009.74,82.39,476.7
12.79,33.67,1007.17,61.37,460.14
19.92,48.7,1012.32,94.68,452.23
28.81,61.33,1012.9,34.09,425.27
16.26,37.25,1019.06,35.16,457.78
14.56,35.39,1016.43,98.22,460.22
26.35,64.85,1009.72,35.85,436.54
27.43,60.54,1007.36,41.99,434.42
22.74,48.74,1026.44,28.69,442.86
29.18,55.16,1011.5,74.9,436.7
17.3,42.63,1023.61,51.31,451.24
35.07,69.29,1029.26,88.39,420.16
24.45,58.58,1014.64,95.72,441.05
11.08,43.52,1004.63,67.86,461.58
10.25,33.3,1000.48,93.61,465.92
26.91,51.88,1012.93,50.22,432.68
4.01,26.28,1016.55,41.37,477.08
20.81,49.36,1003.4,71.46,448.0
26.03,52.67,1002.83,54.56,435.5
16.98,47.16,1011.6,65.52,455.02
34.51,67.72,1007.92,63.85,417.88
31.51,65.97,1016.06,48.59,430.85
21.47,49.38,1009.19,89.89,447.35
19.24,48.89,1015.82,89.34,448.56
24.96,57.99,1013.89,54.1,435.23
27.32,52.02,1016.67,99.63,436.81
31.85,69.86,1014.92,83.22,422.0
13.32,37.74,1014.05,65.72,464.97
14.54,29.4,1014.56,79.14,457.29
21.68,47.73,1010.61,95.81,447.78
27.9,66.1,1011.87,35.3,434.99
24.15,61.88,1002.79,86.99,442.25
36.0,66.76,1022.79,53.15,413.45
20.24,49.37,1015.44,96.43,455.41
17.19,35.6,1010.38,34.42,463.66
25.8,58.51,995.34,49.68,439.0
36.81,58.38,1007.78,69.06,418.12
25.76,45.5,1012.77,71.16,439.39
22.0,52.68,1023.36,88.11,443.2
22.45,53.83,1016.39,34.89,439.59
3.24,25.0,1014.2,41.51,481.5
3.33,26.05,1016.71,62.92,473.54
21.55,58.89,1024.18,98.33,441.87
10.17,32.19,1001.75,26.82,468.65
28.58,63.28,1013.2,98.33,433.5
21.91,45.25,1017.35,91.29,451.61
30.19,54.26,1025.85,34.58,436.54
28.18,69.75,1021.81,92.61,432.95
18.64,46.16,1006.38,59.42,447.82
30.75,59.1,1018.38,71.51,424.27
13.93,28.16,1015.92,88.64,462.65
31.15,67.07,1011.71,63.69,417.44
21.74,55.08,1000.63,89.25,434.76
34.03,75.95,1016.58,77.47,417.41
21.91,48.76,1011.15,84.84,449.71
13.55,43.41,1017.95,85.26,459.13
32.61,65.81,1005.14,58.78,418.14
29.14,55.13,1006.53,86.16,429.32
31.16,63.17,1017.89,46.07,430.95
21.92,46.52,1001.4,57.43,448.47
32.25,59.67,1013.32,97.37,429.57
8.48,26.75,1012.56,75.98,468.87
19.2,51.25,1010.67,79.39,440.67
6.05,27.33,1017.15,53.19,475.99
27.93,54.26,1024.19,85.56,434.48
11.49,33.97,1011.34,67.9,463.04
17.24,42.33,1012.07,95.23,455.49
17.73,43.21,1012.49,76.82,451.77
15.65,41.99,1013.87,98.6,455.97
17.51,39.15,1015.94,70.92,458.9
23.06,60.13,1018.42,92.71,436.14
12.51,29.6,1015.32,53.5,472.52
14.63,35.91,1015.46,30.3,460.23
7.28,25.0,1011.38,33.26,469.71
8.47,28.17,1025.4,29.0,473.23
6.24,25.0,1009.3,39.8,473.73
14.63,40.77,1007.87,67.73,458.82
6.34,25.0,1011.16,50.41,470.94
9.17,32.9,1008.71,61.52,471.33
34.33,58.05,1004.37,54.71,415.96
23.12,59.34,1015.85,53.97,441.03
26.55,53.58,1007.32,83.97,441.79
31.04,70.64,1025.84,95.16,430.34
7.59,38.5,1007.24,73.19,474.91
14.11,31.94,1010.4,81.89,460.58
18.15,56.8,1002.79,62.02,452.61
33.09,66.63,1022.11,55.72,410.33
24.64,40.8,1008.04,81.69,435.81
29.57,62.65,1003.95,90.49,430.64
21.34,50.52,1013.26,97.03,447.33
13.61,48.51,1005.48,82.42,461.13
20.88,37.17,1014.26,69.12,441.2
11.46,25.0,1012.17,92.74,463.4
28.24,58.55,1016.29,47.2,433.89
24.79,51.03,1024.14,72.11,441.57
12.99,31.07,1016.96,83.9,466.98
24.32,53.26,1007.34,61.96,444.32
8.71,41.45,999.63,36.04,465.71
30.53,62.04,1025.13,46.84,429.72
7.76,34.86,1016.25,82.73,469.81
20.07,42.78,1008.23,61.79,442.07
16.2,33.48,1013.36,83.62,460.8
5.12,25.0,1014.8,53.55,477.07
19.99,58.24,1006.0,25.02,447.65
2.51,29.92,1016.57,57.15,480.82
2.97,27.17,1018.86,76.11,482.46
11.74,33.13,1013.91,68.69,463.75
33.42,68.75,1015.19,72.36,423.86
2.98,26.16,1009.2,57.11,475.05
7.67,25.0,1013.22,74.07,469.83
11.14,32.5,1001.54,69.29,465.52
26.03,67.58,1010.03,77.25,435.58
23.5,43.92,1031.36,34.98,443.44
33.67,68.31,1010.97,59.29,414.9
18.54,42.01,1010.95,50.8,451.42
15.98,39.16,1010.18,52.77,459.42
34.55,74.1,1017.85,59.97,418.25
17.16,38.06,1015.46,91.76,453.05
9.3,36.27,1020.46,77.36,465.88
7.87,29.28,1009.68,30.22,470.38
8.39,36.95,1010.03,49.89,469.02
21.12,43.53,1014.04,51.31,446.4
15.71,48.04,1010.71,54.43,454.78
3.68,25.0,1007.31,46.71,479.63
16.16,38.21,1008.2,40.14,460.03
3.29,25.0,1009.66,43.32,484.87
26.98,44.91,1025.57,45.94,431.21
25.05,60.3,1008.75,91.16,434.4
28.09,54.03,1025.13,26.55,434.95
33.53,73.95,1010.38,63.32,419.41
25.97,69.85,1003.36,67.58,435.18
4.74,25.0,1017.42,72.97,479.09
6.31,28.85,1016.13,40.79,469.62
29.99,57.06,1023.86,97.19,433.03
17.12,43.34,1007.52,93.38,456.12
34.2,70.22,1024.05,81.29,416.4
4.2,25.0,1000.72,65.76,482.95
32.22,70.89,1001.73,71.24,423.6
3.55,25.0,1017.99,32.93,473.95
28.89,69.74,1023.34,30.28,420.23
12.11,35.56,1018.67,90.63,470.77
25.59,56.21,1005.85,46.47,435.23
2.73,25.0,1016.64,61.36,480.61
8.85,47.97,1021.77,42.42,467.43
26.09,52.84,1022.21,40.78,438.57
11.52,25.0,1020.45,53.25,468.78
5.37,31.6,1022.09,46.18,472.34
16.77,42.82,1015.56,38.2,450.17
26.93,62.27,1007.04,96.8,435.97
18.54,52.13,1021.25,57.23,448.86
4.02,33.1,1020.35,54.71,482.44
36.33,72.18,1019.7,29.8,411.78
3.11,25.32,997.56,98.54,478.44
22.67,57.73,1008.3,94.82,441.14
18.09,52.79,1022.49,46.57,451.73
22.33,42.04,1009.05,35.71,441.45
31.07,74.7,1022.44,84.88,419.63
18.85,38.59,1006.06,99.92,452.98
4.8,26.36,1017.37,44.84,472.92
26.09,62.99,998.89,25.21,436.04
10.62,30.39,1018.62,78.28,465.05
18.08,41.15,1014.99,72.75,446.84
7.16,37.72,1008.44,89.18,474.38
7.62,38.2,1011.39,72.83,471.52
17.0,34.04,1012.84,39.22,459.07
12.24,35.49,1008.23,77.56,461.19
11.03,36.48,1008.76,75.67,461.12
34.68,77.23,1024.16,99.53,413.3
23.69,55.02,1016.65,43.86,441.69
7.33,34.43,1011.96,30.31,468.7
3.33,25.7,1020.07,71.74,480.92
3.84,28.61,1016.3,36.04,476.44
10.32,49.17,1004.04,48.76,471.09
28.26,63.19,1004.66,92.0,425.52
29.0,63.27,1015.26,41.14,432.33
21.97,40.94,1006.56,97.53,440.38
13.82,31.91,1015.78,79.55,465.22
31.22,54.99,1010.47,76.5,426.95
25.6,54.96,1006.79,84.53,441.31
18.35,42.76,1009.33,36.06,444.74
22.25,45.86,999.44,50.08,446.36
33.31,70.57,1021.51,60.14,418.27
16.14,32.08,1014.92,34.64,452.24
31.04,64.24,1012.87,76.74,423.08
33.06,64.97,1025.22,34.75,427.94
2.86,25.0,1015.58,44.43,483.36
16.65,36.7,1003.73,84.1,456.38
29.04,57.1,1018.86,75.4,426.14
14.2,43.4,1018.9,90.88,459.36
6.24,32.71,1011.78,73.24,476.98
23.43,42.76,1024.14,31.32,447.66
32.78,65.95,1010.35,25.75,426.14
12.38,31.81,1011.92,61.87,468.78
