machine_type,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,failure
M,298.92,307.06,1651.0,40.79,225.2,0
H,299.12,311.51,1590.0,34.06,62.5,0
L,296.86,306.58,1340.0,22.13,90.9,0
L,295.28,305.07,1351.0,41.35,249.3,0
L,297.96,308.31,1633.0,38.5,22.8,0
L,297.41,308.34,1489.0,46.89,88.2,0
M,295.9,305.83,1549.0,40.6,244.1,1
M,299.07,310.77,1233.0,15.69,207.1,1
L,297.7,306.93,1630.0,28.49,116.6,0
L,295.33,304.41,1314.0,48.79,179.9,0
H,297.7,308.83,1653.0,45.75,229.1,1
H,298.08,307.88,1420.0,59.0,152.8,1
L,297.74,307.69,1219.0,48.14,60.8,0
L,299.08,309.75,1607.0,43.63,224.2,0
L,299.64,310.84,1627.0,33.68,149.1,0
M,301.11,311.74,1337.0,46.31,33.9,1
H,298.58,309.69,1112.0,46.37,242.0,1
M,297.86,307.4,1401.0,21.93,186.9,0
L,298.35,309.54,1430.0,55.76,230.4,1
L,294.75,305.17,1490.0,30.43,196.1,0
M,293.92,305.24,1539.0,51.41,127.5,0
L,298.59,309.1,1464.0,37.96,249.7,1
L,300.07,311.07,1506.0,42.17,218.2,0
M,299.57,309.55,1553.0,37.17,181.0,0
M,297.75,309.54,1680.0,21.21,106.7,0
L,295.67,305.96,1428.0,37.66,65.1,0
M,296.0,305.19,1539.0,20.85,119.9,0
L,298.57,308.68,1582.0,59.13,224.0,1
L,297.56,306.02,1501.0,23.55,176.5,0
M,299.6,308.65,1243.0,54.31,236.8,1
M,292.19,303.0,1473.0,47.08,68.5,0
H,297.76,305.8,1635.0,42.3,224.0,1
L,298.46,310.29,1506.0,40.85,33.9,0
M,296.91,307.73,1540.0,30.09,214.0,1
L,295.42,306.06,1332.0,41.87,76.8,0
M,296.43,307.12,1675.0,49.62,74.0,1
M,302.55,312.41,1415.0,48.08,230.7,1
M,294.84,305.21,1464.0,54.26,107.6,0
H,300.68,313.28,1454.0,17.09,162.5,0
M,300.54,309.76,1269.0,60.89,52.6,1
L,302.24,311.87,1415.0,36.01,55.2,0
L,299.13,307.92,1536.0,30.6,240.6,0
H,299.93,310.0,1417.0,43.6,215.3,0
H,296.84,307.92,1574.0,40.26,20.1,0
H,296.05,305.62,1341.0,41.43,180.8,0
M,300.31,309.01,1475.0,24.54,79.1,0
M,296.84,307.05,1602.0,33.74,68.5,1
L,301.1,312.99,1470.0,36.98,73.6,0
L,297.4,306.37,1223.0,37.27,64.1,0
L,298.14,308.76,1499.0,44.92,79.7,1
H,297.82,307.62,1437.0,27.28,41.2,0
L,297.33,307.26,1436.0,53.99,105.7,0
H,292.75,301.74,1568.0,37.49,49.3,0
L,301.97,313.68,1575.0,36.76,49.6,0
L,298.32,308.09,1543.0,29.33,14.6,0
L,298.31,308.98,1402.0,50.43,198.8,0
M,300.03,307.78,1812.0,33.78,188.6,0
L,294.23,303.6,1390.0,48.59,186.8,0
L,297.4,307.2,1745.0,53.2,136.6,1
M,301.05,311.7,1411.0,52.17,143.9,1
H,298.37,308.35,1377.0,38.41,169.7,0
L,300.03,309.16,1642.0,34.3,82.8,0
H,298.48,309.03,1491.0,53.6,236.4,1
L,296.07,306.19,1292.0,40.73,139.5,0
M,296.92,308.13,1944.0,29.03,10.4,1
H,299.9,311.39,1462.0,38.43,158.9,0
M,298.88,309.02,1375.0,28.4,27.3,0
L,301.75,313.1,1639.0,42.38,182.2,0
L,296.07,307.39,1652.0,35.18,218.7,1
M,299.09,307.67,1546.0,44.29,133.0,0
L,298.37,309.35,1639.0,32.28,135.2,0
L,298.85,309.3,1428.0,19.77,69.7,0
L,299.8,310.26,1336.0,44.62,109.9,1
L,296.61,306.27,1447.0,47.48,53.8,0
M,298.99,309.1,1580.0,48.98,183.7,0
M,296.13,306.06,1451.0,37.48,168.2,0
L,300.04,310.19,1459.0,36.3,232.8,0
M,295.62,305.71,1386.0,33.06,7.7,1
M,298.26,306.7,1359.0,50.61,3.8,0
H,297.08,307.49,1331.0,41.33,207.4,1
H,297.85,306.5,1633.0,42.53,163.2,1
H,299.4,309.66,1137.0,42.56,45.6,0
L,295.06,303.51,1498.0,25.52,59.2,0
H,298.22,306.42,1124.0,66.1,19.4,1
H,298.14,309.0,1635.0,47.34,102.1,0
M,295.24,304.03,1369.0,34.05,143.2,0
L,293.97,303.56,1394.0,52.26,92.7,1
M,297.6,306.95,1270.0,43.4,20.4,0
L,299.46,308.59,1322.0,51.19,15.6,0
L,296.94,307.37,1363.0,41.25,187.8,1
L,298.15,308.69,1565.0,27.69,95.7,0
H,301.5,312.64,1371.0,30.04,12.5,0
H,298.68,309.99,1734.0,30.34,109.8,1
L,300.09,311.17,1435.0,48.98,24.4,0
L,297.01,306.49,1332.0,34.08,41.3,0
M,297.22,308.28,1589.0,31.11,97.6,0
L,296.9,307.27,1662.0,49.13,54.5,0
L,298.09,309.31,1426.0,34.68,137.2,0
L,298.5,308.96,1585.0,46.22,52.2,0
M,297.59,307.24,1590.0,34.59,43.4,0
L,293.99,304.09,1540.0,44.93,44.2,0
L,296.56,307.26,1618.0,29.2,167.3,1
L,300.71,310.25,1468.0,30.62,74.5,0
L,300.37,309.15,1695.0,42.74,47.9,1
L,295.72,305.57,1239.0,54.37,137.1,0
L,298.29,309.55,1492.0,41.07,35.3,0
H,297.15,306.95,1532.0,50.07,194.9,1
M,297.85,308.61,1415.0,43.78,182.9,0
H,298.92,310.1,1496.0,18.38,170.1,0
M,297.55,307.07,1566.0,29.51,204.5,1
L,297.61,305.09,1434.0,46.3,55.1,1
L,297.98,308.14,1665.0,48.83,103.5,0
M,294.28,304.09,1828.0,19.22,238.0,1
H,298.54,305.84,1640.0,25.17,35.5,0
L,295.5,304.93,1291.0,28.01,80.9,0
L,297.53,308.46,1266.0,54.13,230.4,1
H,298.74,309.98,1595.0,31.74,107.7,0
L,297.2,305.78,1737.0,42.64,126.5,0
L,302.25,311.64,1245.0,32.27,221.7,0
H,296.35,305.84,1664.0,22.58,111.2,0
L,298.06,307.94,1489.0,33.77,202.2,0
M,295.99,306.4,1619.0,27.04,211.2,1
L,295.87,305.59,1157.0,25.1,27.2,1
L,296.43,306.99,1332.0,44.14,152.0,0
M,297.6,307.05,1626.0,28.03,175.8,0
L,302.12,311.24,1457.0,35.02,32.8,0
L,296.66,307.85,1705.0,25.31,96.8,1
M,293.01,303.32,1421.0,44.21,212.7,1
L,294.02,304.28,1772.0,34.1,185.1,1
H,297.43,307.48,1607.0,26.06,244.1,1
M,296.84,308.14,1437.0,30.95,40.3,1
M,297.95,307.79,1611.0,22.29,103.8,1
M,300.86,310.2,1357.0,46.72,116.1,0
L,301.51,311.32,1470.0,39.89,61.3,0
L,301.0,312.65,1297.0,42.03,169.0,0
H,295.13,306.34,1624.0,47.51,37.0,0
M,295.56,306.4,1813.0,43.03,192.8,1
L,297.43,307.79,1280.0,22.92,217.9,0
L,298.43,308.42,1419.0,43.2,157.4,0
L,298.3,309.67,1471.0,35.14,73.6,0
M,297.77,306.97,1495.0,32.96,226.3,0
L,297.19,306.21,1218.0,49.47,113.6,0
M,302.36,311.79,1420.0,41.33,171.3,0
L,302.28,312.82,1536.0,35.85,119.3,0
H,300.69,310.96,1229.0,24.69,165.8,0
L,297.86,306.66,1478.0,42.73,87.2,0
L,297.12,307.47,1777.0,53.81,58.2,1
L,298.0,308.12,1394.0,26.38,73.0,0
M,299.11,309.41,1955.0,38.17,143.0,0
L,297.9,306.67,1459.0,45.65,156.7,1
M,298.06,307.59,1569.0,41.05,116.7,0
H,296.58,307.38,1462.0,37.77,198.7,1
L,299.11,308.74,1507.0,45.03,121.9,0
M,296.41,306.61,1123.0,50.0,1.1,0
L,300.29,310.31,1466.0,31.24,132.4,0
M,300.48,310.37,1621.0,35.99,173.5,0
H,300.15,312.35,1463.0,55.54,55.7,0
L,295.12,306.16,1784.0,41.82,191.7,1
L,298.01,308.62,1543.0,26.57,22.7,0
M,296.8,306.78,1470.0,41.95,149.3,0
M,298.65,310.46,1384.0,35.18,80.4,0
L,296.75,306.78,1650.0,40.79,18.0,0
H,299.93,311.19,1606.0,34.24,38.6,1
L,294.85,304.33,1320.0,47.46,64.1,1
L,299.1,308.06,1359.0,27.87,86.5,1
L,296.51,306.25,1473.0,32.06,200.2,0
H,298.27,307.74,1552.0,44.21,42.3,0
L,297.93,306.59,1453.0,47.82,121.7,0
L,296.39,304.9,1545.0,26.08,108.6,0
M,299.68,310.64,1300.0,27.11,83.3,0
L,299.34,311.49,1394.0,38.78,165.5,0
L,292.92,304.3,1392.0,37.63,54.0,1
H,297.9,308.13,1410.0,30.68,117.0,0
M,296.63,306.4,1281.0,38.1,76.4,1
L,296.48,305.9,1365.0,34.86,88.6,0
H,299.95,308.16,1667.0,44.14,64.8,0
L,297.33,308.1,1430.0,29.53,85.7,0
M,296.89,307.23,1775.0,28.51,223.5,0
M,295.23,304.22,1349.0,45.17,157.2,0
M,299.99,310.58,1731.0,43.15,106.6,0
L,301.46,311.13,1550.0,48.08,166.3,0
M,296.14,305.54,1089.0,41.08,182.1,0
L,295.94,306.5,1629.0,37.32,168.3,0
L,299.21,310.87,1304.0,47.63,224.6,0
L,299.64,309.76,1700.0,22.73,212.9,1
L,300.3,311.64,1728.0,45.82,35.4,1
H,300.52,310.47,1509.0,17.2,127.9,0
H,298.37,308.87,1452.0,30.76,2.6,0
L,295.31,305.46,1223.0,40.77,191.4,0
L,298.77,306.56,1445.0,37.89,93.5,0
H,298.65,309.66,1368.0,36.49,202.2,0
L,300.98,309.26,1627.0,41.91,60.7,0
L,300.95,313.3,1578.0,26.78,191.2,0
M,297.19,306.15,1451.0,33.1,166.6,0
M,294.38,304.25,1832.0,31.37,193.8,1
H,297.23,307.15,1632.0,29.46,236.2,1
M,299.46,309.91,1635.0,33.0,18.3,0
H,301.7,312.61,1374.0,26.62,21.6,1
L,297.49,308.58,1267.0,50.31,140.1,0
H,300.2,309.33,1186.0,25.44,7.8,0
L,301.11,310.08,1320.0,51.65,72.4,1
M,301.05,310.25,1466.0,29.26,157.1,0
H,296.52,306.97,1377.0,28.71,143.5,1
L,298.94,309.51,1321.0,35.85,83.9,1
L,299.77,311.11,1525.0,42.86,145.9,1
L,297.04,307.25,1551.0,59.89,170.4,0
H,296.95,307.91,1605.0,32.08,15.5,0
L,296.46,304.81,1451.0,38.19,157.8,0
L,301.54,311.61,1676.0,37.16,71.5,1
M,301.05,311.4,1322.0,42.91,37.5,1
L,296.9,306.54,1398.0,33.24,248.2,1
M,300.09,308.59,1344.0,57.51,104.5,0
M,297.89,308.35,1619.0,43.44,72.1,0
M,294.43,306.25,1389.0,46.57,144.3,1
L,296.53,306.24,1481.0,49.96,145.8,0
H,296.95,306.33,1494.0,48.41,219.0,0
H,300.39,309.24,1591.0,49.75,107.4,1
L,291.37,302.58,1328.0,45.84,244.1,1
H,297.45,308.51,1576.0,27.96,146.0,0
L,296.13,306.48,1379.0,29.5,179.1,0
L,295.89,304.94,1911.0,44.82,183.9,0
L,297.65,307.03,1484.0,46.64,23.0,0
L,300.9,309.17,1762.0,28.02,206.2,0
L,299.02,306.84,1387.0,44.33,64.4,0
M,298.08,308.61,1422.0,49.85,235.5,0
M,296.75,307.64,1532.0,38.75,114.2,0
L,297.88,308.42,1694.0,46.83,157.2,1
L,299.87,310.33,1646.0,50.38,123.2,0
L,299.17,309.11,1354.0,49.24,220.0,1
H,298.07,307.92,1298.0,46.11,148.4,0
L,296.67,304.89,1229.0,34.74,158.5,1
H,299.38,309.19,1425.0,49.44,152.6,0
H,299.35,309.92,1630.0,55.07,112.0,1
M,297.02,305.79,1371.0,23.28,215.5,0
L,299.96,310.75,1526.0,37.05,201.8,1
L,298.82,309.45,1278.0,44.73,1.3,1
H,298.28,309.62,1644.0,55.79,80.2,1
L,298.48,311.74,1611.0,45.87,196.9,1
L,296.69,306.35,1352.0,45.96,83.1,0
H,296.37,307.49,1402.0,52.26,127.5,1
L,297.82,309.25,1670.0,58.69,221.0,1
L,296.73,306.42,1524.0,53.38,141.2,0
L,296.35,306.07,1497.0,29.98,141.2,0
L,298.47,309.19,1390.0,42.32,53.8,0
M,293.16,303.65,1349.0,40.18,210.6,1
H,297.63,306.25,1353.0,44.94,2.9,0
L,293.59,302.06,1148.0,53.52,87.4,0
H,298.3,310.0,1459.0,38.56,116.2,0
L,297.46,306.54,1188.0,31.84,84.8,1
M,300.03,307.47,1336.0,39.18,164.0,0
L,297.85,311.43,1575.0,41.38,158.6,0
L,297.74,307.29,1543.0,18.01,14.2,0
M,297.26,308.81,1401.0,32.76,106.1,0
L,298.58,310.07,1859.0,43.56,202.1,1
L,294.79,303.86,1776.0,46.39,216.0,1
L,301.11,312.33,1369.0,53.75,131.7,0
L,297.33,307.8,1604.0,37.97,169.5,1
L,299.23,308.93,1283.0,43.64,64.4,1
L,297.09,305.59,1603.0,38.82,236.0,1
L,298.05,307.11,1529.0,33.9,73.1,0
L,297.54,310.04,1741.0,44.16,175.5,0
M,298.98,308.68,1551.0,54.93,118.3,0
L,299.83,307.24,1410.0,43.78,74.1,0
L,297.52,308.65,1793.0,39.91,233.6,1
L,295.3,305.57,1241.0,24.78,143.4,1
M,297.31,307.4,1461.0,34.12,30.2,0
H,299.04,310.07,1838.0,51.35,67.7,1
L,297.33,306.02,1526.0,47.58,154.9,0
M,296.54,306.8,1712.0,34.11,106.0,1
M,297.81,309.16,1371.0,46.66,12.3,0
H,299.59,309.21,1481.0,43.34,108.1,1
L,301.11,311.93,1770.0,34.09,37.4,0
H,298.56,308.05,1471.0,44.91,152.5,0
L,299.56,311.41,1564.0,49.68,190.9,1
L,296.1,305.68,1605.0,37.65,225.0,0
M,296.34,305.89,1648.0,54.89,24.7,1
L,297.63,308.77,1562.0,26.95,93.7,0
L,296.76,307.56,1596.0,51.48,197.6,0
L,295.83,307.57,1477.0,65.01,52.9,0
L,298.36,308.7,1418.0,35.16,182.8,0
M,296.83,308.1,1431.0,40.87,80.7,0
L,300.12,309.23,1344.0,41.61,239.9,1
H,298.74,309.5,1631.0,39.49,225.0,1
H,297.76,308.37,1473.0,22.97,204.3,1
H,301.67,311.8,1238.0,43.61,33.6,0
M,300.24,309.91,1631.0,40.97,241.1,0
H,298.5,309.21,1727.0,50.23,150.2,0
L,299.36,309.89,1247.0,40.24,127.5,0
M,302.98,314.05,1662.0,34.06,100.4,0
L,301.49,311.11,1406.0,37.75,137.5,0
L,296.13,306.31,1453.0,46.21,185.2,0
L,297.5,307.93,1532.0,34.98,38.7,0
L,296.08,306.22,1555.0,35.2,187.4,0
L,299.69,308.98,1558.0,38.08,121.5,0
L,299.61,309.42,1722.0,45.41,126.9,1
L,301.36,312.4,1440.0,50.31,138.3,0
H,295.05,305.2,1619.0,33.91,142.7,1
L,302.12,312.74,1361.0,46.75,32.8,0
H,298.79,309.48,1395.0,44.28,47.7,1
M,297.63,308.01,1594.0,54.22,18.0,0
L,296.38,304.63,1451.0,53.43,49.7,0
M,296.2,306.73,1589.0,41.9,29.8,0
M,296.39,305.66,1268.0,36.67,138.0,0
M,300.44,309.98,1459.0,38.97,238.8,0
H,296.21,307.35,1596.0,33.78,42.2,0
L,296.17,307.79,1370.0,53.5,50.3,0
H,300.31,309.89,1814.0,56.41,115.3,0
L,300.97,310.13,1783.0,58.16,170.9,0
L,296.72,307.06,1416.0,48.47,90.9,1
M,299.39,310.61,1462.0,29.52,85.1,0
M,300.42,310.67,1557.0,33.54,6.9,1
M,296.96,304.98,1497.0,41.61,219.6,0
L,301.4,310.94,1516.0,38.59,11.1,0
L,298.25,308.91,1472.0,39.65,99.5,0
M,297.96,307.18,1554.0,34.03,123.3,0
M,302.88,312.05,1416.0,39.24,94.1,0
H,299.08,309.96,1294.0,29.09,79.0,0
L,298.86,308.38,1636.0,56.67,179.5,0
H,298.73,308.76,1495.0,47.38,118.2,0
M,294.97,304.32,1583.0,43.31,54.1,0
L,298.23,308.57,1604.0,35.91,162.2,0
M,300.28,309.41,1689.0,44.48,50.0,0
M,295.76,304.52,1547.0,16.65,11.3,0
L,299.66,309.12,1453.0,35.88,177.4,0
L,299.56,309.42,1614.0,34.78,188.1,0
H,298.92,307.61,1896.0,26.38,117.0,0
L,296.09,306.42,1570.0,35.71,27.8,0
L,301.25,310.51,1417.0,48.74,111.8,0
M,295.81,305.17,1585.0,27.86,2.2,0
H,297.51,310.8,1582.0,40.89,76.2,1
H,301.41,311.98,1272.0,33.08,96.9,0
L,298.59,310.01,1444.0,37.25,92.8,0
H,294.16,304.98,1404.0,31.69,21.4,0
L,296.23,304.61,1628.0,47.11,8.8,0
M,297.9,307.56,1536.0,55.3,65.9,0
L,295.87,305.44,1523.0,41.4,238.5,1
H,294.91,304.7,1618.0,21.41,135.7,1
H,295.55,306.28,1365.0,53.31,247.3,1
L,298.98,308.09,1369.0,29.04,139.8,0
L,298.53,308.27,1558.0,48.59,37.2,0
H,295.38,304.64,1568.0,37.87,136.6,1
M,298.84,308.37,1832.0,62.67,151.5,1
M,296.89,306.87,1589.0,32.81,218.3,0
L,300.84,311.81,1467.0,29.36,60.5,1
L,294.34,302.72,1700.0,50.89,191.1,1
H,300.55,310.56,1461.0,35.38,148.1,0
L,299.15,308.19,1091.0,52.11,239.7,1
L,296.0,306.11,1285.0,38.85,93.2,1
M,296.33,307.13,1295.0,37.37,224.2,0
M,296.04,305.76,1698.0,53.82,119.6,0
L,297.8,308.82,1781.0,36.48,225.4,0
M,299.35,307.46,1390.0,44.84,165.5,0
L,304.17,313.24,1448.0,48.67,206.6,1
L,303.81,315.28,1483.0,41.86,208.8,1
L,296.88,307.12,1431.0,50.09,21.9,1
L,295.8,306.08,1514.0,50.26,129.4,0
L,295.73,305.99,1479.0,32.65,64.1,0
L,295.55,305.49,1485.0,25.66,94.4,0
M,303.2,313.05,1231.0,54.18,3.3,1
M,297.16,306.56,1665.0,35.81,161.7,0
M,299.99,310.12,1429.0,36.85,174.0,0
M,296.77,306.45,1354.0,35.24,10.7,0
L,296.63,305.66,1355.0,42.72,107.2,1
M,299.62,309.85,1458.0,61.33,96.0,1
H,298.08,309.78,1560.0,33.34,47.2,0
M,297.62,308.4,1684.0,43.26,202.5,0
L,297.35,307.34,1473.0,55.01,12.5,0
M,299.52,311.28,1600.0,46.89,168.6,0
L,295.8,305.45,1417.0,40.5,12.9,1
L,295.92,304.86,1508.0,25.66,28.9,0
M,300.35,308.38,1741.0,36.0,59.2,0
L,300.03,311.2,1425.0,45.58,86.4,0
H,298.7,308.18,1206.0,32.61,127.5,1
L,299.29,309.64,1596.0,34.36,170.9,0
H,295.99,304.74,1387.0,47.52,117.0,0
H,300.15,309.28,1439.0,38.44,5.5,0
H,297.62,307.56,1695.0,27.21,59.7,1
M,296.6,306.34,1084.0,39.86,126.5,1
H,296.3,306.02,1519.0,30.56,174.7,0
L,297.54,307.76,1287.0,32.89,83.7,1
L,298.48,306.76,1526.0,40.78,80.1,0
L,296.8,304.12,1598.0,30.92,64.6,0
L,296.77,305.57,1857.0,56.27,131.8,1
H,299.89,310.74,1600.0,55.56,90.1,0
L,301.18,310.77,1255.0,46.4,199.6,1
L,301.4,311.7,1460.0,38.39,152.8,1
M,297.54,307.23,1379.0,51.53,230.1,1
L,301.5,312.53,1636.0,23.8,225.3,0
M,295.94,306.85,1500.0,39.98,114.1,0
M,299.01,310.49,1126.0,39.35,94.0,0
L,296.58,306.54,1466.0,38.8,67.7,0
L,300.13,311.83,1541.0,32.05,238.3,1
L,294.12,304.47,1566.0,32.23,138.3,0
L,300.63,309.88,1495.0,48.28,2.3,0
M,295.26,305.07,1495.0,30.51,83.9,0
M,301.04,309.82,1327.0,45.72,97.9,0
L,301.66,312.77,1406.0,36.11,131.0,0
L,298.71,310.21,1528.0,35.66,237.4,1
L,301.22,309.67,1327.0,28.75,83.8,1
M,296.35,306.88,1702.0,28.07,33.7,0
L,297.39,309.8,1511.0,50.38,125.8,0
L,300.33,309.37,1535.0,36.31,142.4,0
L,300.64,311.1,1433.0,23.24,216.7,1
L,293.65,304.74,1710.0,31.19,39.4,0
L,297.91,309.58,1377.0,33.29,97.4,0
L,294.3,304.61,1302.0,33.65,217.7,1
L,298.28,307.15,1439.0,35.54,21.1,0
M,297.09,307.33,1161.0,45.36,23.9,0
L,299.75,308.52,1450.0,42.88,102.5,0
L,299.91,311.1,1520.0,37.61,226.2,1
L,301.12,311.14,1461.0,31.68,123.9,0
L,297.46,307.46,1450.0,41.03,131.1,0
L,295.57,305.7,1605.0,25.06,28.5,0
H,302.81,313.35,1244.0,50.48,43.1,0
M,295.43,306.59,1675.0,32.1,143.7,0
H,299.55,313.32,1485.0,25.88,204.1,0
L,294.78,304.85,1793.0,48.87,73.6,1
H,303.87,314.44,1526.0,40.54,235.9,1
L,298.57,307.43,1742.0,38.81,70.8,1
M,298.41,311.12,1531.0,26.4,96.2,0
L,297.58,307.56,1509.0,25.1,226.8,0
M,296.68,304.29,1483.0,38.36,241.1,0
M,301.06,311.11,1496.0,38.71,98.0,0
H,295.67,304.39,1278.0,40.65,129.5,0
L,299.02,309.55,1661.0,52.91,118.9,0
L,297.79,307.34,1269.0,36.07,224.4,0
L,298.26,306.5,1405.0,26.95,212.5,1
L,296.38,305.39,1475.0,25.58,218.6,1
L,301.87,311.03,1338.0,23.94,180.2,0
M,301.4,311.13,1584.0,38.81,162.2,0
L,296.33,305.88,1411.0,42.49,229.8,1
L,300.04,310.14,1598.0,30.58,183.5,0
L,296.14,307.31,1450.0,50.25,92.4,0
L,296.92,307.36,1786.0,32.26,129.6,0
H,299.75,310.59,1769.0,36.22,31.8,1
L,294.95,305.85,1829.0,43.7,147.3,1
L,295.65,304.33,1244.0,42.25,20.1,0
L,296.75,308.2,1546.0,42.91,170.1,0
H,298.27,309.33,1515.0,51.82,118.4,0
L,297.66,307.45,1449.0,38.78,203.0,1
H,302.42,311.64,1421.0,48.31,51.2,0
L,295.79,306.47,1389.0,31.46,84.3,0
L,296.83,306.34,1361.0,40.93,44.3,1
L,300.97,310.36,1471.0,36.0,124.3,0
L,298.88,309.83,1487.0,47.39,78.8,1
M,296.41,306.19,1512.0,31.76,205.8,0
L,300.1,309.52,1613.0,49.16,151.8,0
H,296.77,307.67,1378.0,46.06,157.0,0
H,300.73,309.48,1459.0,51.02,82.1,0
M,299.93,310.2,1286.0,41.3,208.9,0
L,296.92,307.88,1393.0,35.9,211.9,1
L,295.72,303.73,1566.0,35.69,25.2,0
M,296.38,306.33,1573.0,53.05,63.3,1
H,294.77,304.19,1607.0,48.82,132.6,0
H,297.7,305.81,1527.0,37.31,49.0,0
H,301.62,311.58,1648.0,35.02,216.1,1
H,299.37,307.84,1315.0,51.73,108.1,1
M,300.15,310.38,1509.0,43.71,105.6,0
L,299.11,309.95,1567.0,36.05,80.6,0
M,296.13,305.6,1410.0,45.63,196.4,1
L,294.29,304.09,1637.0,53.83,160.3,1
M,295.89,303.52,1532.0,35.91,130.3,0
L,302.99,311.55,1779.0,26.51,92.9,1
M,296.44,306.58,1628.0,41.0,91.9,0
M,297.77,307.37,1376.0,31.52,93.4,0
L,298.8,310.5,1396.0,27.42,200.5,1
L,301.38,310.69,1350.0,38.69,162.0,0
L,300.76,309.36,1467.0,39.61,83.6,1
L,300.16,310.89,1809.0,16.6,151.1,0
L,298.12,308.43,1428.0,20.44,12.5,1
L,295.83,305.28,1730.0,26.07,244.6,1
L,299.0,308.03,1393.0,39.42,136.2,0
L,301.65,310.31,1305.0,36.98,183.9,0
L,298.18,308.02,1533.0,38.26,124.0,0
M,296.16,307.32,1476.0,45.96,115.7,0
L,297.95,307.94,1438.0,53.06,118.8,0
M,298.74,308.44,1591.0,35.75,8.7,0
M,299.82,310.06,1820.0,19.36,44.0,1
L,293.9,303.19,1405.0,39.63,49.6,0
H,299.98,309.14,1299.0,41.0,100.4,0
H,298.64,308.72,1816.0,46.6,92.9,0
L,299.87,308.76,1409.0,44.48,199.2,0
L,298.39,308.92,1567.0,50.14,51.9,0
H,296.6,307.81,1676.0,51.47,222.2,1
L,297.64,308.5,1419.0,38.43,192.6,0
L,299.2,309.44,1752.0,43.42,140.7,0
L,298.14,307.14,1390.0,55.37,185.6,0
H,298.06,307.22,1493.0,44.65,37.9,0
M,297.33,307.69,1535.0,42.09,118.2,0
H,301.19,311.72,1611.0,38.71,57.0,0
L,297.85,308.61,1481.0,48.08,210.8,0
L,296.31,305.7,1404.0,37.79,32.4,0
M,299.68,310.13,1700.0,44.66,76.6,0
L,296.61,306.69,1458.0,46.59,16.9,0
L,296.09,305.72,1561.0,33.87,91.8,0
L,299.22,309.03,1555.0,37.65,213.2,0
M,297.04,306.86,1783.0,42.46,9.2,0
L,300.11,307.9,1699.0,46.13,185.8,1
L,298.15,308.09,1380.0,58.14,168.0,0
L,297.08,306.94,1434.0,29.58,60.1,0
L,300.25,309.79,1654.0,55.93,217.0,1
M,299.86,310.1,1392.0,18.05,187.8,0
M,293.22,303.11,1129.0,27.5,226.2,1
H,297.62,306.98,1307.0,53.42,91.1,0
L,295.79,307.07,1323.0,42.17,4.7,0
H,301.53,311.22,1533.0,38.13,92.6,0
M,300.75,309.95,1666.0,42.5,128.5,0
L,297.85,308.07,1684.0,43.54,212.5,1
L,296.59,308.46,1231.0,43.84,84.1,0
L,300.23,308.36,1441.0,47.13,23.0,0
M,300.48,310.74,1465.0,21.67,132.1,0
L,297.61,307.74,1311.0,61.27,85.3,1
M,300.42,309.69,1430.0,43.26,22.1,0
L,296.98,307.23,1604.0,35.48,152.1,0
M,299.29,309.18,1329.0,32.12,109.8,0
L,299.24,310.47,1762.0,58.18,107.3,1
L,298.83,308.87,1285.0,38.96,133.6,0
L,300.02,308.87,1638.0,43.09,244.8,1
M,300.91,309.03,1729.0,45.26,142.5,0
M,297.86,307.9,1829.0,55.63,38.7,1
H,299.66,308.53,1528.0,28.54,151.6,0
H,296.54,306.22,1500.0,61.78,174.4,0
M,300.64,310.95,1352.0,32.9,74.4,0
L,301.44,310.78,1574.0,33.57,35.2,0
L,296.01,305.25,1300.0,67.69,175.5,0
M,297.7,306.02,1268.0,41.13,90.0,1
M,297.68,307.38,1694.0,42.48,108.6,0
M,298.27,307.12,1566.0,53.05,184.6,0
H,297.71,307.38,1484.0,39.11,49.2,0
M,294.34,303.51,1253.0,29.53,175.8,0
M,294.66,303.3,1610.0,31.01,81.3,0
H,296.21,306.08,1494.0,40.07,105.9,0
M,299.53,309.43,1610.0,22.42,120.3,0
H,296.93,306.28,1288.0,26.94,208.1,1
M,300.28,309.04,1492.0,32.46,228.7,0
M,301.67,311.8,1394.0,24.52,248.4,1
L,299.36,310.15,1695.0,59.87,30.4,0
M,299.2,309.09,1547.0,34.88,141.7,0
M,296.57,306.2,1382.0,41.75,229.1,1
L,299.08,311.34,1373.0,33.59,80.5,0
M,299.96,308.72,1603.0,43.33,202.5,1
H,298.83,309.26,1574.0,47.88,51.0,0
L,296.69,306.76,1799.0,41.48,51.0,0
M,300.44,311.49,1707.0,38.83,237.1,0
L,298.57,308.78,1426.0,46.59,163.2,0
L,298.23,306.7,1660.0,48.04,232.0,1
L,298.42,308.15,1792.0,24.2,220.7,0
H,299.38,310.17,1355.0,23.33,67.8,0
L,297.71,307.4,1764.0,42.89,111.1,0
L,296.83,307.38,1397.0,45.54,32.4,0
L,297.57,307.95,1370.0,29.01,85.1,0
L,298.89,308.6,1689.0,39.65,128.1,0
L,301.1,310.17,1486.0,38.66,154.1,0
L,298.14,307.46,1219.0,38.7,83.0,1
M,295.96,305.36,1525.0,30.14,167.5,0
L,295.29,304.31,1393.0,53.05,57.1,0
M,296.11,307.16,1427.0,27.29,65.4,1
M,297.58,308.09,1435.0,28.34,209.9,0
