inspection_id,asset_id,inspection_date,inspector,result,health_score,duration_min,cost_inr
I001150,A0048,2022-01-24,M. Iyer,pass,78.9,48,2934
I001151,A0048,2022-03-09,E. Rao,fail,59.8,30,2809
I001152,A0048,2022-05-23,S. Khan,pass,76.0,34,1377
I001153,A0048,2022-06-15,S. Khan,pass,88.6,42,5328
I001154,A0048,2022-07-07,P. Singh,fail,49.7,32,6756
I001155,A0048,2022-07-24,M. Iyer,fail,46.1,22,960
I001156,A0048,2022-08-08,E. Rao,fail,69.7,42,1421
I001157,A0048,2022-10-15,S. Khan,pass,94.5,28,2925
I001158,A0048,2022-11-22,S. Khan,pass,69.3,66,912
I001159,A0048,2023-02-06,M. Iyer,pass,81.0,62,4399
I001160,A0048,2023-02-16,L. Dsouza,fail,55.9,42,2531
I001161,A0048,2023-02-24,E. Rao,repair,87.4,40,5304
I001162,A0048,2023-03-05,M. Iyer,pass,78.8,27,4122
I001163,A0048,2023-03-15,L. Dsouza,pass,98.8,26,7534
I001164,A0048,2023-04-13,E. Rao,pass,85.9,41,1358
I001165,A0048,2023-05-21,M. Iyer,pass,75.8,44,301
I001166,A0048,2023-07-24,E. Rao,pass,79.8,43,1849
I001167,A0048,2023-08-26,S. Khan,pass,86.7,48,7655
I001168,A0048,2023-11-07,E. Rao,pass,89.4,14,2991
I001169,A0048,2023-11-18,M. Iyer,fail,59.5,28,5618
I001170,A0048,2023-12-13,M. Iyer,fail,61.9,51,4869
I001171,A0048,2023-12-18,E. Rao,pass,88.3,61,3354
I001172,A0048,2023-12-27,L. Dsouza,pass,87.2,74,1406
I001173,A0048,2024-01-23,E. Rao,repair,84.3,63,1604
I001174,A0048,2024-02-11,M. Iyer,pass,89.1,66,6672
I001175,A0048,2024-03-12,E. Rao,pass,95.9,53,2427
I001176,A0048,2024-03-18,M. Iyer,pass,86.8,50,2142
I001177,A0048,2024-04-15,P. Singh,pass,84.1,68,9197
I001178,A0049,2022-01-07,L. Dsouza,pass,82.3,65,4530
I001179,A0049,2022-01-10,P. Singh,pass,91.0,48,6467
I001180,A0049,2022-07-08,E. Rao,pass,90.8,39,5669
I001181,A0049,2023-05-20,P. Singh,repair,84.2,30,4398
I001182,A0049,2023-08-17,E. Rao,pass,85.4,53,7965
I001183,A0049,2023-09-10,S. Khan,pass,84.8,43,4546
I001184,A0049,2023-09-23,M. Iyer,pass,81.6,55,9945
I001185,A0049,2023-09-23,E. Rao,pass,68.3,35,6473
I001186,A0049,2023-10-30,E. Rao,pass,100.0,45,4155
I001187,A0049,2023-11-07,P. Singh,pass,76.6,29,4883
I001188,A0049,2023-11-29,E. Rao,pass,82.5,32,1808
I001189,A0049,2024-01-14,S. Khan,pass,94.7,19,11882
I001190,A0049,2024-02-01,L. Dsouza,pass,85.3,39,5389
I001191,A0049,2024-02-03,M. Iyer,pass,93.4,61,2260
I001192,A0049,2024-04-05,S. Khan,pass,88.4,59,5818
I001193,A0049,2024-04-08,M. Iyer,pass,100.0,57,4291
I001194,A0049,2024-04-09,P. Singh,pass,78.5,48,5358
I001195,A0050,2022-01-04,M. Iyer,fail,61.0,66,3161
I001196,A0050,2022-01-05,P. Singh,repair,80.6,50,637
I001197,A0050,2022-01-09,L. Dsouza,fail,60.4,78,1713
I001198,A0050,2022-01-10,M. Iyer,repair,86.8,80,5586
I001199,A0050,2022-02-15,P. Singh,fail,62.4,30,1831
I001200,A0050,2022-03-10,L. Dsouza,pass,69.5,73,1923
I001201,A0050,2022-03-24,S. Khan,fail,51.2,33,3185
I001202,A0050,2022-03-30,E. Rao,pass,80.7,49,3493
I001203,A0050,2022-04-06,P. Singh,pass,86.5,21,2367
I001204,A0050,2022-04-30,S. Khan,fail,47.1,53,8522
I001205,A0050,2022-05-23,E. Rao,repair,84.9,16,5896
I001206,A0050,2022-06-03,P. Singh,pass,81.9,57,5328
I001207,A0050,2022-06-03,E. Rao,pass,86.9,53,5314
I001208,A0050,2022-07-29,L. Dsouza,pass,80.7,58,1756
I001209,A0050,2022-08-20,P. Singh,pass,73.2,43,7534
I001210,A0050,2022-09-15,E. Rao,pass,74.7,46,1262
I001211,A0050,2022-10-13,S. Khan,repair,80.3,37,7720
I001212,A0050,2022-10-30,L. Dsouza,fail,63.4,56,2034
I001213,A0050,2022-12-01,L. Dsouza,pass,75.5,47,2502
I001214,A0050,2022-12-09,S. Khan,pass,73.1,64,1058
I001215,A0050,2023-02-05,L. Dsouza,pass,91.3,37,904
I001216,A0050,2023-02-11,S. Khan,pass,79.9,17,4724
I001217,A0050,2023-02-23,S. Khan,fail,69.6,23,11529
I001218,A0050,2023-04-24,E. Rao,pass,87.8,28,1573
I001219,A0050,2023-05-19,P. Singh,pass,82.3,48,6372
I001220,A0050,2023-05-29,S. Khan,pass,86.4,41,2986
I001221,A0050,2023-06-29,L. Dsouza,pass,77.1,67,1576
I001222,A0050,2023-07-02,S. Khan,pass,92.0,37,2443
I001223,A0050,2023-07-04,L. Dsouza,repair,74.7,8,5983
I001224,A0050,2023-08-17,P. Singh,pass,82.5,50,728
I001225,A0050,2023-08-18,M. Iyer,pass,81.2,43,8581
I001226,A0050,2023-09-19,M. Iyer,pass,87.5,43,2396
I001227,A0050,2023-09-19,S. Khan,pass,87.1,25,5801
I001228,A0050,2023-10-28,P. Singh,pass,86.3,30,3639
I001229,A0050,2023-11-01,L. Dsouza,fail,50.8,35,1940
I001230,A0050,2023-11-07,M. Iyer,pass,90.9,58,1816
I001231,A0050,2023-11-17,P. Singh,pass,80.0,68,4195
I001232,A0050,2024-01-02,P. Singh,pass,87.8,44,6151
I001233,A0050,2024-01-20,M. Iyer,pass,92.9,50,229
I001234,A0050,2024-02-04,L. Dsouza,pass,86.3,33,4261
I001235,A0050,2024-02-14,E. Rao,pass,78.3,52,823
I001236,A0050,2024-03-27,M. Iyer,pass,80.7,50,1989
I001237,A0050,2024-03-28,S. Khan,pass,88.1,42,557
I001238,A0051,2022-02-07,L. Dsouza,pass,100.0,12,1532
I001239,A0051,2022-02-10,E. Rao,pass,82.9,79,4100
I001240,A0051,2022-03-08,M. Iyer,fail,60.7,53,886
I001241,A0051,2022-04-29,E. Rao,pass,95.6,44,5826
I001242,A0051,2022-05-11,E. Rao,pass,78.7,51,11234
I001243,A0051,2022-05-16,E. Rao,fail,43.4,47,5954
I001244,A0051,2022-07-31,P. Singh,fail,41.8,46,3407
I001245,A0051,2022-08-08,P. Singh,pass,83.9,37,2869
I001246,A0051,2022-08-21,L. Dsouza,pass,86.3,63,1106
I001247,A0051,2022-10-02,S. Khan,pass,81.7,55,2341
I001248,A0051,2023-01-06,P. Singh,pass,80.5,48,1133
I001249,A0051,2023-03-14,E. Rao,pass,84.7,42,2182
I001250,A0051,2023-04-04,P. Singh,pass,74.8,33,558
I001251,A0051,2023-05-16,S. Khan,pass,90.8,71,4695
I001252,A0051,2023-08-19,P. Singh,pass,93.9,56,10062
I001253,A0051,2023-11-26,P. Singh,pass,86.6,30,3026
I001254,A0051,2023-12-27,L. Dsouza,fail,69.7,43,1666
I001255,A0051,2024-01-12,L. Dsouza,pass,81.3,61,2781
I001256,A0051,2024-01-26,S. Khan,pass,83.8,44,3685
I001257,A0051,2024-02-23,M. Iyer,fail,67.7,40,2008
I001258,A0051,2024-03-07,E. Rao,pass,99.9,41,8576
I001259,A0051,2024-03-07,S. Khan,pass,76.6,54,4254
I001260,A0051,2024-04-12,E. Rao,repair,91.5,51,7044
I001261,A0052,2022-03-24,E. Rao,pass,80.7,68,4249
I001262,A0052,2022-06-13,S. Khan,fail,60.9,45,5739
I001263,A0052,2022-11-14,L. Dsouza,pass,75.0,54,1852
I001264,A0052,2023-01-05,E. Rao,fail,72.6,53,5886
I001265,A0052,2023-09-24,E. Rao,pass,83.3,39,2790
I001266,A0052,2024-03-25,E. Rao,pass,86.1,16,200
I001267,A0053,2022-07-09,M. Iyer,pass,84.0,60,1013
I001268,A0053,2022-07-14,M. Iyer,pass,98.9,49,2573
I001269,A0053,2022-10-11,M. Iyer,repair,84.4,32,3753
I001270,A0053,2023-01-28,S. Khan,repair,80.4,49,2130
I001271,A0053,2023-04-24,E. Rao,pass,91.3,44,5193
I001272,A0053,2023-09-30,L. Dsouza,pass,76.0,45,3962
I001273,A0053,2024-02-10,M. Iyer,repair,78.7,29,6258
I001274,A0053,2024-04-19,E. Rao,pass,81.3,73,3772
I001275,A0054,2022-10-20,P. Singh,pass,77.7,58,9418
I001276,A0054,2022-10-30,L. Dsouza,fail,68.5,45,2159
I001277,A0054,2023-01-30,M. Iyer,pass,92.0,44,2420
I001278,A0054,2023-09-15,S. Khan,fail,70.3,29,944
I001279,A0054,2024-01-12,M. Iyer,repair,87.3,53,4226
I001280,A0054,2024-01-25,L. Dsouza,pass,93.1,52,5940
I001281,A0055,2022-04-22,S. Khan,repair,86.6,61,4479
I001282,A0055,2022-07-04,P. Singh,repair,77.0,44,2014
I001283,A0055,2023-01-22,M. Iyer,pass,88.8,25,6226
I001284,A0055,2023-01-27,M. Iyer,pass,83.2,34,4012
I001285,A0055,2023-11-24,S. Khan,pass,86.7,42,2876
I001286,A0055,2023-12-29,S. Khan,fail,59.1,70,2494
I001287,A0055,2024-02-06,L. Dsouza,pass,89.9,30,4826
I001288,A0055,2024-02-07,L. Dsouza,pass,95.1,43,2496
I001289,A0055,2024-03-08,L. Dsouza,pass,75.2,26,1187
I001290,A0056,2022-01-23,P. Singh,pass,90.9,48,3717
I001291,A0056,2022-02-28,E. Rao,pass,71.1,61,2365
I001292,A0056,2022-03-30,E. Rao,pass,78.1,44,5687
I001293,A0056,2022-03-30,S. Khan,pass,91.8,33,1230
I001294,A0056,2022-03-30,L. Dsouza,pass,84.5,47,5150
I001295,A0056,2022-04-10,M. Iyer,pass,75.4,73,2646
I001296,A0056,2022-04-12,M. Iyer,pass,94.9,22,4859
I001297,A0056,2022-04-16,M. Iyer,pass,94.8,18,2360
I001298,A0056,2022-05-06,P. Singh,pass,97.0,64,2351
I001299,A0056,2022-05-09,L. Dsouza,pass,65.0,54,2352
I001300,A0056,2022-06-09,S. Khan,pass,89.2,38,2507
I001301,A0056,2022-07-25,S. Khan,pass,93.6,22,3458
I001302,A0056,2022-07-26,E. Rao,pass,97.2,33,2171
I001303,A0056,2022-09-05,P. Singh,repair,84.9,45,4735
I001304,A0056,2022-09-14,S. Khan,fail,53.0,52,2848
I001305,A0056,2022-09-30,S. Khan,pass,83.5,63,5696
I001306,A0056,2023-01-02,L. Dsouza,pass,78.2,15,3295
I001307,A0056,2023-01-05,P. Singh,pass,89.4,56,529
I001308,A0056,2023-01-27,M. Iyer,pass,100.0,51,5681
I001309,A0056,2023-02-08,P. Singh,pass,92.6,21,7926
I001310,A0056,2023-06-06,E. Rao,pass,90.2,66,2391
I001311,A0056,2023-07-06,M. Iyer,pass,89.8,22,1588
I001312,A0056,2023-07-21,P. Singh,pass,84.9,33,2782
I001313,A0056,2023-09-04,P. Singh,pass,90.1,32,2817
I001314,A0056,2023-11-16,E. Rao,pass,87.4,44,921
I001315,A0056,2023-12-15,L. Dsouza,repair,80.7,60,2994
I001316,A0056,2024-01-16,E. Rao,pass,88.7,40,628
I001317,A0056,2024-01-19,E. Rao,pass,96.6,41,1082
I001318,A0056,2024-01-24,E. Rao,fail,56.3,27,2786
I001319,A0056,2024-02-12,L. Dsouza,pass,94.6,42,2634
I001320,A0056,2024-03-04,L. Dsouza,repair,100.0,39,3839
I001321,A0056,2024-04-22,M. Iyer,fail,43.3,40,2945
I001322,A0057,2022-02-16,E. Rao,pass,80.5,55,4256
I001323,A0057,2022-02-21,E. Rao,pass,83.9,35,1529
I001324,A0057,2022-03-14,L. Dsouza,pass,97.8,45,1970
I001325,A0057,2022-03-24,S. Khan,pass,90.0,31,1168
I001326,A0057,2022-06-03,E. Rao,pass,98.2,61,806
I001327,A0057,2022-07-13,L. Dsouza,pass,81.1,62,1362
I001328,A0057,2022-08-07,E. Rao,pass,78.2,71,873
I001329,A0057,2022-08-08,E. Rao,pass,83.5,34,1294
I001330,A0057,2022-08-22,L. Dsouza,pass,76.3,39,658
I001331,A0057,2022-09-15,E. Rao,pass,81.8,75,7249
I001332,A0057,2022-10-02,E. Rao,repair,82.7,42,7595
I001333,A0057,2022-10-26,L. Dsouza,repair,80.6,49,4116
I001334,A0057,2022-10-26,E. Rao,pass,98.3,50,3716
I001335,A0057,2022-10-31,M. Iyer,pass,81.7,50,1761
I001336,A0057,2022-10-31,E. Rao,pass,70.7,41,1134
I001337,A0057,2022-11-05,L. Dsouza,pass,87.8,32,3867
I001338,A0057,2022-12-16,E. Rao,pass,79.1,48,1461
I001339,A0057,2022-12-20,E. Rao,pass,72.1,38,392
I001340,A0057,2023-01-08,E. Rao,pass,86.8,42,7792
I001341,A0057,2023-01-23,E. Rao,repair,86.6,35,5980
I001342,A0057,2023-02-11,L. Dsouza,pass,89.2,57,5012
I001343,A0057,2023-03-13,P. Singh,pass,78.0,38,3566
I001344,A0057,2023-04-23,S. Khan,pass,70.5,55,7741
I001345,A0057,2023-05-03,M. Iyer,pass,97.5,41,227
I001346,A0057,2023-05-13,L. Dsouza,repair,75.5,46,8546
I001347,A0057,2023-05-27,L. Dsouza,pass,90.4,53,4078
I001348,A0057,2023-06-14,M. Iyer,pass,85.1,29,948
I001349,A0057,2023-06-22,E. Rao,repair,89.4,72,1561
I001350,A0057,2023-07-04,L. Dsouza,pass,95.4,51,4005
I001351,A0057,2023-07-05,L. Dsouza,pass,98.4,19,5991
I001352,A0057,2023-07-17,P. Singh,pass,78.7,44,3912
I001353,A0057,2023-08-12,L. Dsouza,pass,90.4,43,3475
I001354,A0057,2023-08-14,M. Iyer,pass,91.5,38,3316
I001355,A0057,2023-09-14,S. Khan,pass,78.3,41,3988
I001356,A0057,2023-09-29,M. Iyer,pass,88.6,54,3705
I001357,A0057,2023-10-07,L. Dsouza,repair,82.6,58,1353
I001358,A0057,2023-10-09,L. Dsouza,pass,84.6,70,3743
I001359,A0057,2023-11-01,E. Rao,repair,83.0,21,3897
I001360,A0057,2023-11-11,S. Khan,repair,83.5,38,2935
I001361,A0057,2023-11-14,P. Singh,pass,91.0,52,1114
I001362,A0057,2023-11-30,M. Iyer,pass,90.9,35,5746
I001363,A0057,2024-02-02,P. Singh,pass,68.3,77,3999
I001364,A0058,2022-01-19,P. Singh,repair,96.3,35,2464
I001365,A0058,2022-01-22,E. Rao,pass,90.7,34,1721
I001366,A0058,2022-02-01,S. Khan,pass,79.2,58,1154
I001367,A0058,2022-02-28,S. Khan,pass,81.6,71,3162
I001368,A0058,2022-08-06,E. Rao,pass,94.7,64,3792
I001369,A0058,2022-08-15,E. Rao,fail,69.6,37,1270
I001370,A0058,2022-08-18,M. Iyer,repair,100.0,16,2160
I001371,A0058,2022-10-26,S. Khan,repair,86.3,14,3212
I001372,A0058,2023-10-19,S. Khan,fail,57.4,61,3462
I001373,A0058,2024-01-19,S. Khan,repair,79.7,56,7406
I001374,A0058,2024-02-05,S. Khan,fail,72.3,52,970
I001375,A0058,2024-03-12,P. Singh,pass,83.1,31,14447
I001376,A0058,2024-04-29,P. Singh,pass,84.1,56,2269
I001377,A0059,2022-01-03,P. Singh,pass,95.2,49,349
I001378,A0059,2022-08-16,S. Khan,pass,76.6,48,10246
I001379,A0059,2022-12-12,M. Iyer,fail,66.7,42,4465
I001380,A0059,2023-01-06,L. Dsouza,pass,79.1,22,6892
I001381,A0059,2023-08-27,S. Khan,pass,84.2,58,1976
I001382,A0059,2023-10-06,S. Khan,repair,75.1,5,1571
I001383,A0060,2022-01-02,S. Khan,pass,79.7,46,6795
I001384,A0060,2022-01-04,L. Dsouza,pass,76.6,43,3554
I001385,A0060,2022-01-15,P. Singh,pass,90.2,55,4998
I001386,A0060,2022-01-31,P. Singh,fail,67.9,31,6367
I001387,A0060,2022-04-19,M. Iyer,pass,92.6,30,2798
I001388,A0060,2022-07-19,M. Iyer,pass,99.7,57,2392
I001389,A0060,2022-07-20,S. Khan,pass,100.0,34,3917
I001390,A0060,2022-08-19,M. Iyer,pass,83.3,44,3196
I001391,A0060,2022-09-12,L. Dsouza,pass,97.8,50,5099
I001392,A0060,2022-09-17,M. Iyer,repair,97.2,55,2618
I001393,A0060,2022-11-03,E. Rao,pass,82.1,26,1855
I001394,A0060,2022-11-09,P. Singh,pass,93.2,21,6483
I001395,A0060,2022-12-01,E. Rao,pass,81.9,64,340
I001396,A0060,2023-02-08,P. Singh,pass,85.5,52,2697
I001397,A0060,2023-03-15,L. Dsouza,pass,93.4,36,9885
I001398,A0060,2023-04-10,L. Dsouza,pass,71.1,45,1647
I001399,A0060,2023-07-12,M. Iyer,pass,85.0,37,4739
I001400,A0060,2023-07-14,M. Iyer,pass,89.9,37,3450
I001401,A0060,2023-12-02,P. Singh,repair,89.3,29,6199
I001402,A0060,2024-02-07,L. Dsouza,pass,100.0,45,5163
I001403,A0060,2024-03-04,P. Singh,pass,88.0,47,2016
I001404,A0060,2024-03-08,M. Iyer,pass,94.9,66,2188
I001405,A0060,2024-04-25,L. Dsouza,pass,71.9,43,2466
I001406,A0060,2024-04-27,E. Rao,pass,82.3,34,3305
I001407,A0060,2024-04-29,S. Khan,pass,82.0,41,7442
I001408,A0061,2022-01-12,M. Iyer,fail,67.7,79,4659
I001409,A0061,2022-01-17,E. Rao,pass,90.0,53,7623
I001410,A0061,2022-01-22,E. Rao,pass,87.2,36,9942
I001411,A0061,2022-03-01,E. Rao,pass,92.8,61,4295
I001412,A0061,2022-03-04,L. Dsouza,pass,89.5,68,882
I001413,A0061,2022-03-15,L. Dsouza,pass,84.4,46,2153
I001414,A0061,2022-04-24,L. Dsouza,pass,89.6,43,3642
I001415,A0061,2022-07-01,L. Dsouza,pass,84.4,46,1842
I001416,A0061,2022-07-04,P. Singh,fail,68.5,29,2387
I001417,A0061,2022-07-25,L. Dsouza,pass,98.3,52,1602
I001418,A0061,2022-08-23,S. Khan,fail,54.9,37,9450
I001419,A0061,2022-08-23,S. Khan,repair,77.5,66,3545
I001420,A0061,2022-09-27,S. Khan,pass,76.8,52,7032
I001421,A0061,2022-10-08,S. Khan,repair,90.0,44,3418
I001422,A0061,2022-10-14,M. Iyer,fail,60.7,55,2479
I001423,A0061,2022-11-05,P. Singh,pass,96.0,33,6008
I001424,A0061,2022-12-06,S. Khan,pass,95.0,35,4188
I001425,A0061,2023-03-10,L. Dsouza,fail,62.3,81,4224
I001426,A0061,2023-03-23,L. Dsouza,pass,88.4,62,967
I001427,A0061,2023-04-20,M. Iyer,fail,72.6,67,5593
I001428,A0061,2023-05-10,P. Singh,pass,95.2,19,5396
I001429,A0061,2023-05-19,P. Singh,pass,86.7,34,1643
I001430,A0061,2023-05-28,M. Iyer,fail,61.7,44,3587
I001431,A0061,2023-06-05,E. Rao,repair,97.2,50,510
I001432,A0061,2023-06-17,S. Khan,pass,82.5,33,1505
I001433,A0061,2023-07-06,M. Iyer,fail,68.9,54,10619
I001434,A0061,2023-07-07,M. Iyer,fail,53.2,48,2210
I001435,A0061,2023-07-25,P. Singh,pass,88.0,5,1246
I001436,A0061,2023-08-06,S. Khan,pass,82.9,36,3150
I001437,A0061,2023-08-07,L. Dsouza,fail,69.8,44,1720
I001438,A0061,2023-08-30,S. Khan,fail,61.7,30,4938
I001439,A0061,2023-09-22,M. Iyer,repair,72.6,45,5414
I001440,A0061,2023-10-01,M. Iyer,fail,63.1,40,2544
I001441,A0061,2023-10-03,S. Khan,pass,90.8,68,3054
I001442,A0061,2023-10-23,M. Iyer,pass,80.8,19,775
I001443,A0061,2023-12-17,P. Singh,pass,89.0,50,3798
I001444,A0061,2024-01-02,E. Rao,pass,83.8,31,1697
I001445,A0061,2024-01-29,L. Dsouza,repair,90.7,57,4321
I001446,A0061,2024-02-14,M. Iyer,pass,82.1,39,5925
I001447,A0061,2024-04-18,L. Dsouza,pass,78.3,48,893
I001448,A0062,2022-03-18,M. Iyer,repair,99.1,46,10087
I001449,A0062,2022-03-29,L. Dsouza,pass,92.7,28,6771
I001450,A0062,2022-06-30,P. Singh,pass,79.6,45,4650
I001451,A0062,2022-07-04,E. Rao,pass,90.1,20,3773
I001452,A0062,2022-11-27,E. Rao,pass,80.7,21,1933
I001453,A0062,2022-12-31,E. Rao,fail,61.2,43,2821
I001454,A0062,2023-01-15,L. Dsouza,pass,94.2,66,742
I001455,A0062,2023-02-19,P. Singh,pass,77.5,68,4984
I001456,A0062,2023-04-21,S. Khan,fail,57.9,51,3940
I001457,A0062,2023-06-09,E. Rao,pass,95.0,42,4170
I001458,A0062,2023-07-27,L. Dsouza,pass,84.2,54,1419
I001459,A0062,2023-12-05,S. Khan,pass,92.5,52,1333
I001460,A0062,2024-02-13,P. Singh,fail,58.4,81,3825
I001461,A0063,2022-04-23,S. Khan,pass,95.0,51,3125
I001462,A0063,2022-09-20,M. Iyer,pass,82.5,31,1357
I001463,A0063,2022-11-29,S. Khan,pass,95.2,29,5202
I001464,A0063,2023-03-17,L. Dsouza,pass,78.5,59,1607
I001465,A0063,2023-05-04,P. Singh,repair,81.0,40,1433
I001466,A0063,2023-06-05,M. Iyer,pass,90.4,33,3475
I001467,A0063,2023-07-16,S. Khan,pass,87.6,38,10384
I001468,A0063,2023-10-14,E. Rao,pass,78.9,45,1859
I001469,A0064,2022-01-01,P. Singh,pass,77.4,25,3118
I001470,A0064,2022-01-01,P. Singh,pass,80.7,60,966
I001471,A0064,2022-03-02,L. Dsouza,repair,95.7,50,3948
I001472,A0064,2022-04-14,S. Khan,pass,86.2,52,3544
I001473,A0064,2022-04-19,E. Rao,pass,87.3,26,4234
I001474,A0064,2022-05-01,M. Iyer,repair,85.5,38,431
I001475,A0064,2022-05-24,E. Rao,pass,100.0,51,7497
I001476,A0064,2022-07-05,M. Iyer,pass,83.7,27,1376
I001477,A0064,2022-08-28,S. Khan,pass,81.1,48,1763
I001478,A0064,2022-11-16,S. Khan,pass,97.7,61,3275
I001479,A0064,2022-11-21,L. Dsouza,pass,76.9,37,579
I001480,A0064,2022-12-08,S. Khan,repair,76.3,43,2541
I001481,A0064,2022-12-21,P. Singh,fail,80.3,28,11746
I001482,A0064,2023-01-26,L. Dsouza,repair,79.3,48,1695
I001483,A0064,2023-02-22,L. Dsouza,pass,82.2,60,8182
I001484,A0064,2023-04-11,E. Rao,pass,91.0,34,2330
I001485,A0064,2023-04-19,L. Dsouza,pass,88.5,35,1462
I001486,A0064,2023-05-12,M. Iyer,pass,90.3,15,5365
I001487,A0064,2023-07-08,M. Iyer,fail,65.3,35,3122
I001488,A0064,2023-08-10,L. Dsouza,fail,73.2,43,4027
I001489,A0064,2023-09-15,P. Singh,pass,89.2,35,328
I001490,A0064,2023-11-01,P. Singh,repair,86.7,46,3241
I001491,A0064,2023-11-12,P. Singh,fail,57.6,37,2077
I001492,A0064,2024-02-06,L. Dsouza,pass,82.8,38,5921
I001493,A0064,2024-02-25,M. Iyer,pass,100.0,24,2409
I001494,A0064,2024-02-28,M. Iyer,pass,81.7,28,446
I001495,A0064,2024-03-23,E. Rao,pass,90.2,50,7384
I001496,A0064,2024-04-09,S. Khan,fail,61.0,38,2215
I001497,A0065,2022-02-09,L. Dsouza,pass,80.1,36,1481
I001498,A0065,2022-08-19,E. Rao,fail,52.2,22,1765
I001499,A0065,2022-08-31,E. Rao,pass,92.3,62,1927
I001500,A0065,2022-10-25,M. Iyer,pass,83.9,62,1771
I001501,A0065,2023-02-15,M. Iyer,fail,59.1,28,3678
I001502,A0065,2023-04-03,M. Iyer,pass,81.2,54,2375
I001503,A0065,2023-06-09,L. Dsouza,pass,96.4,55,4270
I001504,A0065,2023-06-18,L. Dsouza,pass,91.4,37,1066
I001505,A0065,2023-07-17,S. Khan,pass,89.7,43,5899
I001506,A0065,2023-09-30,P. Singh,repair,81.6,27,5239
I001507,A0065,2023-11-01,E. Rao,pass,80.5,87,4821
I001508,A0065,2023-12-21,P. Singh,pass,89.8,55,5308
I001509,A0065,2023-12-24,L. Dsouza,pass,84.9,53,1354
I001510,A0065,2023-12-30,P. Singh,pass,100.0,12,4610
I001511,A0065,2024-03-12,M. Iyer,pass,86.3,46,2611
I001512,A0065,2024-04-28,E. Rao,fail,63.4,68,9614
I001513,A0065,2024-04-29,E. Rao,fail,45.0,27,6580
I001514,A0066,2022-01-18,M. Iyer,pass,72.7,62,3973
I001515,A0066,2022-09-05,P. Singh,pass,85.7,74,3690
I001516,A0066,2022-09-13,S. Khan,fail,61.7,41,834
I001517,A0066,2022-10-03,S. Khan,fail,64.3,46,1172
I001518,A0066,2022-10-27,M. Iyer,pass,91.8,49,1048
I001519,A0066,2022-11-13,S. Khan,pass,76.9,63,2083
I001520,A0066,2022-12-31,L. Dsouza,pass,88.2,28,2190
I001521,A0066,2023-01-08,S. Khan,pass,92.1,64,2617
I001522,A0066,2023-02-01,E. Rao,pass,87.2,42,3104
I001523,A0066,2023-02-04,L. Dsouza,pass,87.7,43,3160
I001524,A0066,2023-02-24,L. Dsouza,pass,79.1,33,740
I001525,A0066,2023-03-01,P. Singh,fail,51.3,39,2904
I001526,A0066,2023-05-07,M. Iyer,pass,81.2,15,1316
I001527,A0066,2023-07-12,S. Khan,pass,88.5,85,1862
I001528,A0066,2023-08-02,E. Rao,pass,87.1,52,5187
I001529,A0066,2023-10-18,P. Singh,pass,100.0,64,2594
I001530,A0066,2023-11-18,S. Khan,pass,91.5,37,6178
I001531,A0066,2023-11-28,S. Khan,pass,86.6,58,3148
I001532,A0066,2024-03-14,L. Dsouza,pass,87.5,56,1761
I001533,A0066,2024-04-25,P. Singh,pass,77.1,27,1534
I001534,A0067,2022-01-26,L. Dsouza,fail,84.4,37,6396
I001535,A0067,2022-01-27,E. Rao,repair,91.2,23,8970
I001536,A0067,2022-02-06,P. Singh,fail,63.2,26,3151
I001537,A0067,2022-02-15,M. Iyer,pass,80.1,37,3326
I001538,A0067,2022-02-22,S. Khan,fail,61.5,60,3737
I001539,A0067,2022-03-28,M. Iyer,pass,100.0,66,1764
I001540,A0067,2022-05-20,L. Dsouza,pass,100.0,38,3542
I001541,A0067,2022-05-30,M. Iyer,repair,92.3,51,828
I001542,A0067,2022-06-10,M. Iyer,repair,84.7,52,1917
I001543,A0067,2022-07-07,S. Khan,repair,75.2,55,1112
I001544,A0067,2022-08-18,M. Iyer,repair,92.8,40,860
I001545,A0067,2022-09-14,E. Rao,pass,86.4,46,2850
I001546,A0067,2022-09-27,M. Iyer,fail,81.8,46,3496
I001547,A0067,2022-10-05,E. Rao,repair,89.1,5,2013
I001548,A0067,2022-11-04,S. Khan,pass,76.3,62,3096
I001549,A0067,2022-12-21,E. Rao,pass,76.6,52,1917
I001550,A0067,2023-01-11,M. Iyer,pass,81.5,64,4601
I001551,A0067,2023-03-26,E. Rao,pass,73.5,25,3184
I001552,A0067,2023-03-28,M. Iyer,fail,57.3,41,1683
I001553,A0067,2023-04-23,L. Dsouza,repair,95.3,38,3883
I001554,A0067,2023-06-16,E. Rao,pass,85.4,18,1146
I001555,A0067,2023-06-21,M. Iyer,pass,85.9,27,2253
I001556,A0067,2023-07-11,E. Rao,pass,95.1,52,5929
I001557,A0067,2023-08-02,E. Rao,pass,83.3,50,851
I001558,A0067,2023-08-20,P. Singh,pass,97.9,20,600
I001559,A0067,2023-08-24,E. Rao,pass,87.3,44,2088
I001560,A0067,2023-09-06,M. Iyer,repair,96.3,47,1450
I001561,A0067,2023-09-08,M. Iyer,pass,89.2,74,4026
I001562,A0067,2023-10-06,L. Dsouza,repair,82.3,21,1892
I001563,A0067,2023-11-05,S. Khan,pass,80.7,51,5261
I001564,A0067,2023-11-07,S. Khan,pass,80.5,48,7699
I001565,A0067,2023-11-15,E. Rao,pass,97.7,68,3429
