current_amp,voltage_v,travel_speed_mmps,wire_feed_mmps,heat_input_kjmm,gas_flow_lpm,joint_gap_mm,plate_thickness_mm,material,defect
245.8,26.51,8.48,7.56,0.769,13.1,1.42,12.0,Aluminum,0
220.4,23.95,6.96,6.11,0.759,19.6,0.36,8.0,Aluminum,1
191.6,23.35,5.79,5.72,0.773,12.5,0.44,10.0,Stainless,0
224.3,24.7,6.92,7.95,0.801,20.5,0.97,5.0,Carbon,1
194.3,23.64,7.92,5.96,0.58,12.7,0.83,16.0,Carbon,0
230.1,24.67,7.39,6.9,0.768,12.7,1.76,5.0,Aluminum,1
230.8,23.95,4.76,6.33,1.161,17.3,0.88,6.0,Stainless,0
188.5,25.01,5.37,4.89,0.878,12.7,1.08,8.0,Carbon,1
197.5,24.99,7.6,5.72,0.649,19.3,1.06,16.0,Carbon,0
144.2,23.48,5.37,4.12,0.631,18.8,0.58,8.0,Carbon,1
181.2,24.82,8.16,5.5,0.551,16.7,0.16,12.0,Stainless,0
168.5,21.82,6.39,5.11,0.575,15.4,0.9,8.0,Carbon,1
211.9,25.83,10.44,7.08,0.524,15.1,0.49,6.0,Carbon,0
239.1,23.58,6.97,7.15,0.809,18.7,0.87,3.0,Carbon,0
185.6,25.11,9.3,5.65,0.501,16.7,0.25,5.0,Aluminum,0
156.2,23.03,7.09,4.77,0.507,15.1,0.94,12.0,Stainless,1
181.0,23.35,7.9,5.91,0.535,16.0,1.47,6.0,Stainless,1
196.5,23.8,9.55,6.3,0.49,12.2,0.97,5.0,Stainless,0
240.5,24.53,7.49,7.28,0.788,18.7,0.34,6.0,Carbon,0
186.1,23.9,8.65,5.32,0.514,12.1,0.36,16.0,Aluminum,0
219.0,27.08,6.46,6.06,0.919,20.6,0.65,10.0,Stainless,0
212.9,23.05,8.77,4.45,0.56,9.9,0.82,8.0,Stainless,1
170.5,22.97,10.36,5.35,0.378,13.0,0.28,16.0,Stainless,0
203.3,23.73,13.31,5.97,0.363,19.6,0.23,10.0,Carbon,0
172.1,21.71,6.47,4.42,0.577,16.1,0.06,3.0,Aluminum,0
172.1,24.53,8.27,6.09,0.51,10.2,0.54,5.0,Stainless,0
173.5,21.93,8.46,5.23,0.45,19.8,0.03,6.0,Carbon,0
176.0,20.31,7.25,5.58,0.493,16.0,0.54,5.0,Carbon,0
187.1,24.62,5.93,4.81,0.776,25.2,1.17,8.0,Carbon,0
185.8,23.92,6.03,5.05,0.737,18.9,0.5,6.0,Aluminum,0
148.6,23.33,6.86,4.45,0.505,13.8,0.47,3.0,Carbon,0
159.4,22.03,8.15,4.85,0.431,13.8,0.54,10.0,Stainless,1
228.3,24.1,7.19,8.13,0.766,14.8,1.44,12.0,Stainless,0
169.1,21.86,4.97,5.89,0.744,14.8,0.86,10.0,Carbon,0
231.0,25.86,3.09,6.74,1.936,17.2,0.45,12.0,Carbon,0
182.4,24.77,6.45,6.2,0.7,19.6,0.75,6.0,Aluminum,0
150.9,22.93,12.7,5.51,0.273,15.9,1.79,5.0,Stainless,1
154.3,22.01,9.18,5.11,0.37,18.0,0.51,5.0,Stainless,1
204.4,25.42,8.0,6.03,0.65,13.0,0.76,10.0,Stainless,0
153.4,24.33,9.1,3.77,0.41,18.8,0.39,5.0,Carbon,0
155.8,23.12,9.89,4.79,0.364,13.6,0.34,10.0,Stainless,1
207.3,26.25,9.38,5.6,0.58,21.6,1.34,8.0,Aluminum,0
230.9,25.38,9.9,6.46,0.592,17.8,0.58,6.0,Aluminum,0
137.9,21.32,11.74,4.39,0.251,13.0,0.73,10.0,Stainless,0
158.9,23.13,8.53,3.69,0.431,18.0,0.59,12.0,Stainless,0
162.9,21.72,8.54,5.32,0.414,13.6,1.56,8.0,Stainless,1
233.1,24.21,10.45,7.42,0.54,16.4,1.47,3.0,Carbon,1
173.7,24.32,5.66,4.38,0.746,10.8,0.34,16.0,Carbon,0
144.3,23.09,11.53,4.51,0.289,9.8,0.99,3.0,Carbon,1
185.4,23.01,10.98,4.93,0.388,15.2,0.24,3.0,Stainless,0
165.4,21.18,7.82,4.88,0.448,12.8,0.19,3.0,Carbon,0
210.8,21.53,8.02,7.17,0.566,16.1,0.93,10.0,Carbon,0
173.2,22.58,8.3,4.72,0.471,23.0,0.31,3.0,Carbon,0
164.8,24.05,6.41,5.51,0.618,14.5,0.23,3.0,Carbon,0
174.6,22.39,6.44,5.46,0.608,13.5,1.05,10.0,Stainless,0
151.4,23.7,5.42,3.71,0.663,11.7,0.3,6.0,Stainless,0
202.1,22.17,10.56,6.67,0.424,14.5,0.56,6.0,Carbon,0
176.2,24.1,13.99,5.46,0.304,19.9,0.43,3.0,Aluminum,0
243.2,24.73,3.48,7.22,1.729,10.8,1.53,6.0,Carbon,1
214.7,26.94,10.45,6.17,0.553,15.2,0.33,12.0,Carbon,0
208.9,23.81,8.41,6.73,0.591,13.8,0.96,10.0,Stainless,0
183.7,23.71,7.45,6.41,0.584,16.0,0.22,5.0,Stainless,0
204.6,25.35,3.83,6.29,1.355,14.6,1.9,8.0,Carbon,0
181.4,23.76,7.99,6.85,0.54,17.7,0.8,16.0,Aluminum,0
209.1,25.45,11.08,6.17,0.48,10.0,0.32,12.0,Aluminum,1
203.9,22.59,3.23,5.91,1.427,15.2,0.4,8.0,Stainless,0
220.6,26.71,5.07,5.74,1.163,13.0,2.68,10.0,Carbon,0
197.9,24.12,4.15,5.94,1.15,12.0,0.42,5.0,Carbon,0
178.1,23.13,9.06,5.11,0.455,15.9,1.3,5.0,Stainless,0
200.9,24.35,5.79,6.79,0.845,17.3,1.19,5.0,Stainless,0
203.5,24.4,11.89,6.26,0.418,18.6,0.3,3.0,Carbon,0
151.7,21.27,3.94,4.57,0.819,14.0,0.47,6.0,Carbon,0
256.1,24.6,9.72,7.28,0.648,19.2,0.63,6.0,Carbon,0
172.6,23.26,6.44,5.25,0.623,18.8,1.08,16.0,Stainless,0
264.3,25.82,6.14,8.69,1.112,21.0,0.29,16.0,Aluminum,0
195.3,23.42,8.83,4.75,0.518,15.6,0.8,3.0,Carbon,0
189.6,24.0,10.9,5.52,0.417,16.4,0.62,16.0,Carbon,0
239.0,25.88,11.14,6.22,0.555,15.5,0.41,8.0,Carbon,0
240.2,26.14,5.29,8.83,1.186,14.9,0.67,5.0,Stainless,0
181.4,21.62,10.42,4.7,0.376,19.9,0.9,3.0,Stainless,0
150.9,20.91,4.13,3.55,0.763,17.2,0.46,3.0,Carbon,0
196.8,24.82,6.81,5.76,0.717,22.0,1.16,10.0,Aluminum,1
192.0,21.46,10.54,5.56,0.391,14.4,1.32,10.0,Carbon,0
209.0,24.42,4.79,7.25,1.065,16.7,0.66,5.0,Carbon,0
213.2,25.01,3.95,5.99,1.349,15.2,0.26,3.0,Carbon,0
161.3,22.64,8.65,4.56,0.422,16.7,0.16,6.0,Carbon,0
192.3,23.99,8.93,5.05,0.517,24.9,0.8,3.0,Carbon,0
206.8,24.31,8.09,6.16,0.622,18.3,0.41,12.0,Carbon,0
171.4,23.09,4.91,3.77,0.805,19.6,0.65,6.0,Stainless,0
194.4,23.39,10.61,7.0,0.428,11.7,0.5,8.0,Stainless,0
192.9,25.39,11.02,5.9,0.445,20.9,0.21,6.0,Stainless,0
165.9,23.06,6.35,4.44,0.602,13.4,0.45,10.0,Carbon,1
198.3,23.85,7.31,5.46,0.647,23.4,0.25,3.0,Stainless,0
146.5,22.44,5.83,3.9,0.564,16.7,0.19,8.0,Aluminum,0
231.8,26.65,9.26,7.63,0.667,16.4,0.41,3.0,Aluminum,0
211.9,25.5,8.95,6.81,0.604,15.6,1.39,16.0,Stainless,0
187.5,24.02,3.16,5.86,1.426,17.3,1.12,5.0,Stainless,0
209.7,21.12,4.17,5.94,1.063,24.3,1.36,10.0,Aluminum,1
174.1,25.06,3.73,5.17,1.171,16.7,0.39,12.0,Stainless,0
212.1,24.35,8.61,5.26,0.6,16.8,0.49,5.0,Carbon,0
168.5,22.53,10.94,5.38,0.347,19.7,0.84,10.0,Carbon,0
205.2,22.92,4.41,5.66,1.066,12.4,0.61,3.0,Aluminum,1
128.9,21.71,7.42,4.62,0.377,11.3,0.8,3.0,Carbon,0
192.9,24.51,11.35,5.63,0.417,21.0,1.43,3.0,Stainless,0
169.6,21.31,11.74,5.16,0.308,18.5,0.68,5.0,Carbon,0
225.0,23.0,5.13,6.15,1.009,20.5,0.6,3.0,Carbon,0
154.8,20.21,6.7,5.15,0.467,18.0,2.92,12.0,Carbon,1
182.4,24.41,6.75,4.5,0.659,13.6,0.33,8.0,Carbon,0
142.7,23.7,6.11,3.95,0.553,14.6,0.05,12.0,Stainless,0
126.9,21.21,5.01,4.13,0.537,18.0,1.01,6.0,Stainless,0
168.4,21.42,10.36,6.03,0.348,14.2,1.02,5.0,Carbon,0
165.0,21.95,7.21,5.5,0.502,18.4,0.8,12.0,Carbon,0
174.9,24.65,7.61,5.69,0.566,22.2,0.18,3.0,Carbon,0
185.5,22.22,11.09,5.83,0.372,18.2,1.12,6.0,Stainless,1
117.3,20.08,5.92,4.25,0.398,16.0,0.8,3.0,Carbon,0
189.9,24.46,9.93,5.85,0.468,14.9,0.6,5.0,Carbon,0
143.2,23.1,7.92,3.94,0.418,16.5,1.73,5.0,Carbon,1
246.8,24.61,7.42,7.61,0.818,15.0,0.26,5.0,Carbon,0
186.8,25.9,3.0,5.71,1.613,13.5,1.19,6.0,Stainless,1
161.6,23.28,7.05,5.57,0.534,21.4,0.75,6.0,Carbon,0
161.7,24.72,10.08,4.25,0.397,15.8,1.81,10.0,Carbon,1
207.8,24.48,6.8,7.07,0.748,15.6,0.54,12.0,Stainless,1
118.7,20.81,11.89,4.38,0.208,16.2,0.08,6.0,Carbon,0
183.6,25.2,8.2,6.3,0.564,14.3,2.4,12.0,Carbon,0
247.0,25.14,8.86,7.36,0.701,18.5,0.37,12.0,Carbon,0
167.8,27.53,6.17,5.1,0.749,15.1,0.26,5.0,Carbon,0
234.4,24.69,9.63,7.25,0.601,15.2,0.67,12.0,Aluminum,1
155.4,24.07,9.04,4.93,0.414,16.3,0.18,5.0,Stainless,0
179.5,22.94,10.87,5.84,0.379,22.3,0.58,10.0,Carbon,0
205.9,25.29,10.37,6.95,0.502,20.3,0.54,10.0,Stainless,0
186.3,23.55,10.82,4.9,0.406,18.4,0.51,16.0,Carbon,0
189.0,23.55,8.28,5.19,0.537,17.1,2.91,8.0,Stainless,1
151.0,22.4,8.52,4.32,0.397,21.6,0.4,10.0,Carbon,0
164.1,23.05,9.1,5.38,0.416,16.4,0.8,8.0,Stainless,0
182.1,23.14,11.7,5.55,0.36,16.8,0.74,10.0,Carbon,0
178.8,23.65,6.58,6.49,0.642,14.4,0.4,8.0,Stainless,0
247.1,23.86,7.36,7.13,0.801,8.3,0.6,5.0,Stainless,1
208.6,24.23,8.15,6.61,0.62,13.1,0.39,6.0,Aluminum,0
190.3,21.89,5.64,5.82,0.738,15.5,0.96,12.0,Aluminum,0
196.6,25.07,7.22,4.9,0.683,13.0,0.52,12.0,Carbon,0
187.4,23.9,3.0,4.86,1.493,15.9,1.08,12.0,Carbon,0
180.2,23.72,7.56,5.3,0.565,10.1,1.56,5.0,Carbon,0
240.5,24.32,9.17,8.86,0.638,20.8,0.19,3.0,Carbon,0
213.3,22.91,10.0,5.97,0.489,12.5,0.65,8.0,Carbon,1
188.0,23.0,8.3,6.37,0.521,15.3,0.6,5.0,Carbon,1
190.6,23.31,7.65,5.85,0.581,11.0,0.69,3.0,Carbon,1
223.6,26.25,8.62,5.78,0.681,16.1,1.51,16.0,Stainless,0
185.7,23.22,6.21,5.51,0.695,17.6,0.47,3.0,Aluminum,0
163.9,22.83,5.67,4.73,0.66,16.9,0.62,16.0,Stainless,1
216.1,26.06,9.67,5.37,0.582,13.8,0.76,3.0,Stainless,0
217.1,23.88,9.59,6.37,0.541,15.9,0.12,10.0,Stainless,0
234.1,23.85,9.77,6.32,0.571,16.6,0.48,5.0,Carbon,0
158.4,22.9,9.86,5.32,0.368,11.4,0.88,16.0,Stainless,0
182.0,23.72,8.87,5.5,0.487,19.5,0.96,10.0,Carbon,1
227.2,23.85,7.7,6.75,0.703,17.8,0.12,5.0,Stainless,0
158.3,22.4,11.51,4.19,0.308,19.5,0.78,8.0,Carbon,0
164.1,22.78,8.17,4.6,0.458,16.9,0.2,5.0,Carbon,0
168.9,23.86,7.84,5.43,0.514,14.6,0.28,8.0,Stainless,0
235.8,24.39,8.25,6.73,0.697,20.7,0.91,16.0,Stainless,0
193.0,23.18,3.16,5.95,1.417,16.8,1.42,12.0,Carbon,0
233.6,24.34,7.37,7.8,0.771,13.7,0.7,6.0,Carbon,0
222.5,25.91,5.37,6.78,1.074,19.3,0.47,5.0,Carbon,0
196.4,25.85,5.21,6.01,0.975,17.5,1.55,5.0,Stainless,0
163.6,23.26,9.72,6.04,0.391,15.9,1.66,12.0,Carbon,0
130.1,22.32,7.45,3.71,0.39,12.8,0.06,8.0,Carbon,0
158.5,21.34,11.57,5.67,0.292,15.3,0.31,3.0,Carbon,0
204.0,24.95,7.7,5.83,0.662,15.4,2.12,3.0,Stainless,1
171.6,21.99,6.67,6.2,0.565,12.4,0.66,6.0,Stainless,1
165.9,23.01,10.36,6.17,0.369,15.5,1.17,6.0,Carbon,1
152.1,23.59,7.4,5.41,0.485,19.7,0.21,6.0,Stainless,0
188.2,22.19,9.99,6.31,0.418,8.5,0.21,12.0,Carbon,0
192.3,21.98,4.42,6.59,0.955,16.6,0.27,8.0,Carbon,0
151.7,23.41,7.5,3.98,0.473,9.6,0.52,10.0,Stainless,0
235.7,24.17,12.67,8.07,0.45,15.6,1.05,8.0,Stainless,0
187.6,22.92,7.03,5.79,0.611,13.5,0.31,10.0,Carbon,0
198.6,23.77,6.71,6.13,0.704,17.5,0.58,3.0,Carbon,0
243.7,25.64,7.79,7.24,0.802,13.0,1.83,5.0,Carbon,0
238.2,25.77,7.29,7.91,0.842,15.9,0.19,16.0,Stainless,0
243.3,24.42,12.08,7.24,0.492,21.7,0.22,12.0,Carbon,1
213.1,24.49,6.41,6.48,0.814,10.1,0.56,8.0,Carbon,0
202.3,24.66,9.88,4.31,0.505,19.3,0.19,5.0,Carbon,0
207.4,24.34,6.8,6.18,0.742,14.1,0.5,10.0,Carbon,0
163.0,21.21,10.48,4.26,0.33,18.3,1.26,8.0,Aluminum,0
187.6,23.95,9.29,5.62,0.484,12.9,0.4,6.0,Stainless,0
197.0,24.95,7.03,6.19,0.7,13.3,0.21,10.0,Carbon,0
150.1,22.07,7.63,4.86,0.434,19.7,1.46,12.0,Carbon,0
221.9,25.24,10.86,7.17,0.516,12.6,0.52,5.0,Carbon,0
229.8,23.34,7.78,7.13,0.689,15.8,0.7,10.0,Carbon,0
192.6,23.55,11.26,5.37,0.403,18.1,1.8,16.0,Carbon,0
268.0,26.65,4.42,7.74,1.616,16.5,1.23,12.0,Carbon,0
196.3,24.22,7.45,6.38,0.638,17.2,0.24,6.0,Carbon,0
184.3,24.37,10.37,5.71,0.433,14.1,2.5,3.0,Stainless,1
170.2,23.38,8.98,4.51,0.443,17.5,0.26,6.0,Carbon,1
187.4,22.67,8.85,5.7,0.48,12.8,1.38,6.0,Stainless,1
137.9,21.28,12.34,4.93,0.238,10.9,0.71,8.0,Carbon,0
177.5,22.16,7.01,5.15,0.561,16.1,1.11,6.0,Aluminum,0
163.9,23.64,8.33,4.48,0.465,17.5,1.06,8.0,Aluminum,1
151.7,22.78,9.51,3.62,0.363,10.7,0.68,16.0,Carbon,1
168.9,22.75,13.21,5.68,0.291,16.1,0.68,10.0,Carbon,1
234.7,25.64,4.57,6.67,1.318,16.7,0.35,10.0,Carbon,0
193.3,25.38,4.79,6.18,1.025,17.4,1.2,5.0,Carbon,0
138.3,21.62,7.16,4.23,0.418,17.7,0.08,16.0,Stainless,0
165.1,22.99,6.24,3.47,0.609,19.3,1.19,5.0,Carbon,0
242.1,27.44,4.41,7.14,1.507,17.4,0.6,12.0,Carbon,0
157.2,23.25,8.37,4.61,0.436,19.4,0.6,8.0,Carbon,0
166.1,23.46,7.28,5.08,0.535,17.1,0.49,3.0,Stainless,0
239.5,24.81,6.41,7.32,0.928,16.2,1.19,12.0,Carbon,0
245.5,25.98,10.19,8.5,0.626,16.8,0.29,3.0,Aluminum,0
226.3,25.03,8.51,6.03,0.666,14.1,0.48,12.0,Aluminum,0
157.9,23.34,3.45,5.28,1.067,16.5,0.68,6.0,Stainless,0
191.8,23.79,7.88,5.71,0.579,20.1,1.22,3.0,Aluminum,0
153.1,23.74,9.94,4.8,0.365,15.9,0.83,10.0,Stainless,1
196.2,24.55,6.87,7.17,0.701,19.4,0.37,5.0,Carbon,0
161.1,22.02,7.1,5.19,0.5,18.1,0.63,8.0,Carbon,0
199.2,24.29,6.52,6.61,0.742,13.1,0.24,5.0,Carbon,0
206.2,24.37,7.4,5.77,0.679,12.9,1.08,3.0,Stainless,0
172.5,25.37,8.42,5.76,0.52,20.1,0.3,10.0,Aluminum,0
171.3,23.66,9.12,4.49,0.445,12.3,0.28,16.0,Stainless,1
185.5,23.61,9.53,5.17,0.46,16.0,1.24,6.0,Carbon,1
181.8,24.0,5.86,5.02,0.745,15.0,0.4,8.0,Aluminum,1
209.8,23.79,6.39,5.93,0.781,14.8,0.32,5.0,Carbon,0
203.9,23.76,7.05,4.72,0.687,24.1,1.13,8.0,Carbon,1
216.2,25.05,10.99,7.15,0.493,16.9,0.89,12.0,Aluminum,1
219.3,24.95,7.24,5.46,0.756,16.3,0.88,16.0,Carbon,0
145.2,22.03,8.29,5.57,0.386,14.2,0.83,10.0,Stainless,1
184.0,25.41,4.51,6.22,1.037,20.8,0.12,10.0,Stainless,0
148.8,23.06,12.13,3.54,0.283,16.9,0.91,12.0,Stainless,0
197.2,23.48,6.0,5.35,0.772,17.0,0.92,5.0,Carbon,0
160.7,22.74,8.99,6.18,0.407,16.2,0.66,16.0,Carbon,1
147.8,23.16,7.02,4.37,0.488,16.6,0.6,5.0,Carbon,0
146.7,21.97,10.86,4.1,0.297,12.7,0.39,12.0,Carbon,1
183.4,21.32,8.57,5.48,0.456,12.8,0.14,8.0,Carbon,1
205.3,22.74,4.81,6.23,0.97,17.9,0.54,3.0,Stainless,1
164.9,23.33,8.18,4.89,0.47,15.3,0.29,8.0,Stainless,1
148.7,21.55,3.38,4.7,0.948,11.6,0.72,12.0,Carbon,1
186.7,23.4,7.76,5.64,0.563,14.6,0.47,5.0,Carbon,0
235.1,23.98,8.73,5.7,0.646,13.0,0.16,10.0,Carbon,1
195.1,24.87,8.98,5.65,0.541,15.3,0.6,16.0,Stainless,0
216.5,23.88,7.66,7.16,0.675,19.6,0.47,5.0,Stainless,0
124.5,21.64,7.44,4.43,0.362,11.6,1.25,16.0,Carbon,1
182.2,20.03,8.93,6.41,0.408,17.6,0.75,10.0,Carbon,1
178.3,25.39,5.8,5.04,0.781,14.8,0.72,8.0,Aluminum,0
153.9,22.79,11.72,3.94,0.299,17.3,1.27,5.0,Stainless,0
193.5,20.92,5.05,5.98,0.802,14.9,1.7,6.0,Carbon,1
263.0,26.51,6.32,7.54,1.104,18.2,0.23,16.0,Stainless,0
187.3,26.72,5.8,5.51,0.863,17.6,0.76,10.0,Carbon,0
184.3,23.95,7.97,5.94,0.554,14.2,0.63,5.0,Stainless,0
184.3,22.2,8.51,6.5,0.481,17.7,0.16,16.0,Aluminum,0
204.2,24.71,7.1,5.38,0.711,14.5,0.59,16.0,Carbon,1
161.6,23.77,7.47,4.78,0.515,22.1,0.54,10.0,Aluminum,0
162.1,22.9,6.21,4.69,0.598,18.4,0.79,6.0,Carbon,1
178.3,22.76,11.53,4.6,0.352,20.1,0.1,5.0,Carbon,0
189.0,22.94,5.13,6.28,0.846,13.6,1.09,12.0,Stainless,0
146.6,21.34,5.28,3.81,0.592,12.8,0.31,8.0,Carbon,0
191.4,23.57,7.44,4.98,0.606,19.3,0.41,12.0,Stainless,0
180.6,23.81,9.04,4.77,0.476,13.6,1.12,10.0,Stainless,0
245.6,26.13,5.51,7.1,1.163,15.2,0.55,8.0,Aluminum,0
225.7,23.3,4.85,7.15,1.084,14.4,0.88,3.0,Carbon,0
236.6,25.92,8.33,8.08,0.736,13.0,0.69,8.0,Carbon,0
190.0,23.46,7.8,6.49,0.571,8.3,0.29,10.0,Carbon,0
207.9,25.45,11.36,5.54,0.466,16.3,1.14,16.0,Carbon,0
231.8,24.78,4.22,6.12,1.361,14.7,0.47,3.0,Stainless,0
202.8,23.14,11.31,6.32,0.415,14.3,0.55,10.0,Stainless,1
206.8,25.42,7.45,6.07,0.705,18.2,0.23,6.0,Carbon,0
174.5,23.3,8.43,4.92,0.483,12.5,1.27,8.0,Carbon,0
183.2,23.01,10.5,5.38,0.401,12.8,0.37,10.0,Aluminum,0
155.5,22.46,6.49,5.41,0.538,16.6,0.81,12.0,Carbon,0
177.1,24.17,10.82,5.8,0.396,20.2,0.23,16.0,Carbon,0
198.9,25.6,8.1,5.95,0.628,14.8,0.55,8.0,Stainless,1
158.9,23.69,8.89,5.01,0.423,18.7,0.88,8.0,Carbon,0
188.1,21.56,9.06,6.4,0.447,15.4,0.96,12.0,Stainless,1
132.4,22.51,4.78,4.08,0.623,14.4,0.21,3.0,Carbon,0
226.7,23.74,10.51,7.23,0.512,14.4,1.0,16.0,Stainless,0
170.6,24.07,5.82,4.89,0.706,10.3,0.04,16.0,Carbon,0
147.1,22.46,11.52,3.34,0.287,19.3,0.92,5.0,Carbon,0
143.2,21.82,8.31,3.67,0.376,10.5,0.32,16.0,Aluminum,0
212.1,25.08,6.51,6.97,0.818,11.7,3.19,12.0,Aluminum,1
220.2,24.23,10.06,6.73,0.531,15.2,1.26,10.0,Carbon,1
154.0,21.5,6.89,5.44,0.481,15.9,0.9,10.0,Stainless,0
186.9,23.91,8.89,5.21,0.502,14.1,0.2,16.0,Carbon,0
152.5,23.24,9.1,4.35,0.39,14.0,0.55,16.0,Carbon,1
208.1,25.01,9.81,6.21,0.531,13.8,1.36,5.0,Stainless,1
219.3,23.58,6.08,7.47,0.851,13.8,2.1,6.0,Stainless,1
191.2,23.34,5.41,5.78,0.825,12.6,0.8,8.0,Carbon,0
151.8,23.09,9.95,4.6,0.352,14.5,0.6,6.0,Carbon,0
189.3,23.53,11.68,5.0,0.381,10.0,0.46,5.0,Carbon,0
153.9,23.19,8.91,5.28,0.401,22.0,0.58,10.0,Aluminum,1
167.8,22.62,9.85,4.5,0.385,20.6,0.54,10.0,Carbon,0
191.4,25.36,10.0,4.96,0.486,14.8,0.55,3.0,Stainless,1
220.3,23.44,6.57,6.43,0.786,18.5,0.36,3.0,Carbon,0
178.5,23.16,8.62,4.82,0.479,18.4,0.24,6.0,Carbon,0
187.5,21.94,8.0,5.22,0.514,21.2,0.63,5.0,Carbon,0
147.8,20.99,8.42,4.57,0.368,14.3,0.2,5.0,Carbon,0
180.7,23.14,9.22,5.51,0.454,16.9,0.8,16.0,Stainless,1
218.2,22.58,6.74,5.97,0.731,13.6,0.91,8.0,Carbon,0
182.9,22.81,7.25,5.73,0.576,18.4,0.74,10.0,Carbon,0
170.6,22.65,6.75,5.88,0.572,16.0,1.03,6.0,Carbon,0
133.9,22.12,5.44,3.97,0.545,17.9,0.3,12.0,Stainless,0
164.7,24.42,7.69,5.22,0.523,18.5,0.19,6.0,Carbon,0
270.0,27.8,6.08,7.98,1.234,13.2,0.83,5.0,Stainless,0
194.2,24.46,3.0,5.73,1.583,20.8,0.19,12.0,Stainless,0
150.1,22.24,10.8,4.46,0.309,18.1,0.78,5.0,Carbon,0
228.3,24.39,10.73,6.38,0.519,12.0,0.47,5.0,Carbon,0
194.7,21.9,8.13,5.53,0.525,16.9,1.63,16.0,Carbon,0
251.6,25.96,7.14,7.84,0.915,11.6,0.8,12.0,Stainless,0
136.1,21.21,8.63,3.95,0.335,19.5,0.45,16.0,Carbon,0
214.1,24.72,9.51,6.98,0.557,16.3,0.84,5.0,Carbon,0
195.7,21.96,8.03,6.3,0.535,14.9,0.55,3.0,Stainless,0
171.9,22.53,11.39,5.41,0.34,15.6,0.22,10.0,Stainless,0
209.3,25.56,5.52,6.44,0.969,7.8,0.66,3.0,Carbon,0
151.0,22.19,9.2,4.69,0.364,16.9,0.72,10.0,Stainless,0
235.0,25.02,7.38,8.95,0.797,17.9,0.71,5.0,Carbon,0
121.8,22.8,6.97,4.22,0.399,20.5,0.09,5.0,Carbon,0
180.3,25.16,9.39,4.76,0.483,18.7,0.69,8.0,Carbon,0
217.0,24.44,13.42,6.7,0.395,21.9,0.88,16.0,Carbon,0
160.5,23.27,7.74,4.49,0.482,14.5,0.2,3.0,Carbon,0
182.4,25.89,9.02,5.07,0.524,15.5,1.57,3.0,Carbon,0
193.6,25.67,9.61,6.27,0.517,15.9,0.29,10.0,Carbon,0
203.0,21.51,9.52,5.73,0.459,16.6,0.63,16.0,Carbon,0
226.1,25.18,6.58,7.7,0.865,16.2,0.73,10.0,Carbon,0
199.9,24.09,10.44,5.53,0.461,17.8,0.21,12.0,Stainless,0
188.6,24.81,7.43,5.94,0.63,17.5,0.94,12.0,Carbon,0
172.4,25.59,9.14,5.79,0.483,11.2,0.14,10.0,Aluminum,0
189.0,24.91,9.12,4.91,0.516,19.1,1.12,6.0,Carbon,0
207.4,25.8,5.38,6.36,0.995,17.7,0.47,10.0,Carbon,0
202.4,23.64,10.99,6.22,0.435,16.3,0.3,6.0,Stainless,0
180.4,24.79,5.6,4.22,0.799,14.5,0.58,6.0,Stainless,0
208.8,25.21,5.74,6.04,0.917,17.5,0.95,12.0,Aluminum,1
152.8,23.1,7.61,4.88,0.464,17.0,0.87,8.0,Stainless,0
179.4,24.26,4.15,5.25,1.049,19.8,0.2,8.0,Carbon,0
187.6,22.61,8.25,6.89,0.514,17.4,0.47,10.0,Stainless,1
164.9,20.94,6.07,5.07,0.569,13.3,0.98,10.0,Stainless,0
155.1,22.45,6.32,4.72,0.551,19.0,0.21,5.0,Stainless,0
198.1,23.86,4.14,5.72,1.141,17.5,0.87,10.0,Stainless,0
234.2,25.76,5.81,7.14,1.039,18.0,0.3,16.0,Aluminum,0
208.1,24.72,8.1,6.4,0.635,19.8,0.45,12.0,Carbon,0
186.6,23.4,7.01,5.58,0.623,14.4,0.27,3.0,Carbon,0
176.3,22.13,9.89,5.87,0.394,19.5,0.56,10.0,Carbon,0
179.4,23.0,8.03,4.34,0.514,17.4,0.39,16.0,Stainless,0
223.3,22.12,11.74,7.44,0.421,17.3,0.93,10.0,Carbon,0
212.7,24.44,5.38,7.28,0.966,17.6,1.05,8.0,Aluminum,0
232.6,26.07,8.23,6.02,0.737,14.6,0.31,16.0,Carbon,0
149.5,23.88,6.4,4.54,0.558,11.5,0.68,6.0,Carbon,0
190.5,21.69,8.23,5.61,0.502,13.1,0.53,8.0,Carbon,0
183.7,20.8,6.81,4.79,0.561,13.2,0.12,3.0,Stainless,1
242.1,27.35,10.68,7.05,0.62,12.9,0.37,12.0,Aluminum,1
124.5,23.3,8.39,4.27,0.346,13.1,0.25,8.0,Stainless,0
156.5,22.87,13.52,4.46,0.265,13.3,0.32,10.0,Stainless,0
178.8,25.1,12.64,4.64,0.355,18.2,0.71,3.0,Carbon,0
211.2,23.01,7.06,5.74,0.689,15.3,0.13,3.0,Carbon,0
168.7,23.65,7.11,4.45,0.561,14.8,0.52,5.0,Carbon,1
165.4,23.9,6.11,4.07,0.647,19.6,0.11,6.0,Carbon,0
206.8,23.37,9.77,5.26,0.495,13.8,0.36,12.0,Carbon,1
145.4,22.45,5.43,4.64,0.601,18.6,1.04,5.0,Stainless,0
178.3,24.31,6.98,5.29,0.62,22.4,0.43,5.0,Aluminum,0
